Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44223,,
Mouse ID,25025-00,,
Disposition,"lethargic, domed head, hunched back",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,
BD,44117,,
Sac Date,44223,,
Age at Sac,106,,
Injection Date,44118,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44217,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,
Tissue collected,"Brain, spinal cord/brain stem",,
Zinc fixed?,No,,
Formalin fixed?,full brain,,
Parafin Block #'s,HCI-20-25025,,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"brain looked hollow, fixed the entire brain just incase it was a rare brain tumor. Brainstem/spinal chord looked enlarged. Not a big enough tumor to justify fixing and freezing a portion, so I just trypsinized it for a cell line.",,
