Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44420,,
Mouse ID,26870-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44306,,
Sac Date,44420,,
Age at Sac,114,,
Injection Date,"4/20/21, 4/21/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, 3 tumors",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, 3 tumors",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"2 large tumors under the skin, one under left shoulder and one on right side of neck starting to ulcer, also a third ""tumor"" in the skin on the left side starting to ulcer but may have been a fight wound scar; tumors first noticed on the 3rd, began loosing weight on 10th, walking wobbly on the 11th, ulcering on 12th",,
