Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,43983
Mouse ID,22846
Disposition,"Difficulty moving and breathing, mishapen head"
Sex,Female
Strain,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
BD,43878
Sac Date,43983
Age at Sac,105
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43881
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Difficulty moving, weirdly shaped head"
Date Tumor reported,43971
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-22846-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
