filename,HCI#,mouse num,Tumor,sample info,date,slide #,path
slide-2022-06-07T08-46-29-R1-S1,22,26037,T1,T1 GFAP TE 612,,4,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-46-29-R1-S1.mrxs
slide-2022-06-07T08-54-43-R1-S2,21,26870,T2,T2 GFAP 612 Ctrl TE,,4,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-54-43-R1-S2.mrxs
slide-2022-06-07T09-09-53-R1-S3,22,26009,T1,T1 KI 67,,5,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-09-53-R1-S3.mrxs
slide-2022-06-07T09-24-08-R1-S4,22,26009,T1,T1 GFAP,,3,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-24-08-R1-S4.mrxs
slide-2022-06-07T09-38-17-R1-S5,22,26279,T1,T1 GFAP TE 612,,5,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-38-17-R1-S5.mrxs
slide-2022-06-07T09-43-14-R1-S6,22,26014,T1,T1 GFAP TE 612,,3,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-43-14-R1-S6.mrxs
slide-2022-06-07T09-49-18-R1-S7,22,26276,T1,T1 GFAP TE 612,,3,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-49-18-R1-S7.mrxs
slide-2022-06-07T09-52-57-R1-S8,22,26274,T1,T1 GFAP TE 612,,4,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-52-57-R1-S8.mrxs
slide-2022-06-07T09-57-46-R1-S9,,28202,B,B GFAP TE 612,,4,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-57-46-R1-S9.mrxs
slide-2022-06-07T10-08-05-R1-S10,,29409,B,B GFAP TE 612,,1,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T10-08-05-R1-S10.mrxs
slide-2022-06-22T11-34-00-R1-S1,,28208,T1,T1 Ki67,,3,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs
slide-2022-06-22T11-44-23-R1-S2,22,26276,T1,T1 Ki67 TE 5/10,,4,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-44-23-R1-S2.mrxs
slide-2022-06-22T11-52-43-R1-S3,22,26274,T1,T1 Ki67 TE 5/10,,3,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-52-43-R1-S3.mrxs
slide-2022-06-22T11-55-50-R1-S4,22,28200,T1,T1 Ki67 TE 5/12,,3,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-55-50-R1-S4.mrxs
slide-2022-06-22T12-00-00-R1-S5,,28204,B,B Ki67,,3,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-00-00-R1-S5.mrxs
slide-2022-06-22T12-17-14-R1-S6,,28203,T1,T1 Ki67,,2,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-17-14-R1-S6.mrxs
slide-2022-06-22T12-24-53-R1-S7,22,26279,T1,T1 Ki67 TE 5/10,,4,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-24-53-R1-S7.mrxs
slide-2022-06-27T08-29-48-R1-S1,22,26037,T1,T1 Olig2 TE 6/22,,1,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-29-48-R1-S1.mrxs
slide-2022-06-27T08-37-19-R1-S2,,28200,T1,T1 Olig2 TE 6/22,,2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-37-19-R1-S2.mrxs
slide-2022-06-27T08-40-01-R1-S3,22,26014,T1,T1 Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-40-01-R1-S3.mrxs
slide-2022-06-27T08-46-25-R1-S4,22,26009,T1,T1 Olig2 TE 6/22,,3,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-46-25-R1-S4.mrxs
