"mouse_num","tumor","mouse_tumor","necropsy_file_comments","strain","virus","tyr_cre_status","gender","dob","injection_date","tumor_noticed","behavior_noticed","death_date","end_date","mri_imaging_date","age_of_tumor_onset","age_of_behavior_onset","age_at_death","tumor_locations","tumor_grade_post_h_e","notes","injected_by","mouse_num_tag","mouse_tag","age_death_cap"
24801,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24801-00","00",151
24802,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24802-01","01",151
24803,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24803-03","03",151
24805,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24805-00","00",151
24807,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24807-03","03",151
25080,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25080-00","00",151
25081,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25081-01","01",151
25082,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25082-03","03",151
25083,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25083-00","00",151
25084,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25084-01","01",151
