,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,22841-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/17/2020,2/20/2020,,5/20/2020,5/20/2020,yes,no,stopped moving paralyzed,,,5/27/2020,no,no glioma observable,no,no,,,,,,,93,1,0,0,,,,,,,,,,,,1,,,,
1,22843-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA-,2/17/2020,2/20/2020,,,7/20/2020,yes,no,"TVA-, only embedded to use as a control",,1,8/14/2020,no,"no glioma observable, but Sheri thinks there may be a leptomeningeal tumor",yes,no,,,,,,"slides were cut according to the form, might have been used for NF1 optimization?",154,,,,,,,,,,,,,,,,,,1,
,22844-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,2/17/2020,2/20/2020,,6/11/2020,6/11/2020,yes,no,"Diffiulty moving and walking (paralyzed), mishapen head",,,6/22/2020,no,no glioma observable,yes,no,,,,,,,115,1,0,0,,,,,,,,,,,,1,,,,
,22845-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/17/2020,2/20/2020,,4/5/2020,4/5/2020,yes,no,cyst/tumer (externally palpable) causing inability to open left eye,"missing sample, not sure if it was ever submitted for H&E",,,,,,yes,,,,,,,48,1,1,,,,,,,,,1,,,,,,,,
,22846-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/17/2020,2/20/2020,,5/29/2020,6/1/2020,yes,no,"having a hard time moving, oddly shaped head",,,6/9/2020,no,tumor outside of brain,yes,yes,yes,,,,,,105,1,1,0,1,1,,,,,,,,,,1,,,,
,22847-31,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,2/17/2020,2/20/2020,,6/11/2020,6/15/2020,yes,no,"Respiratory Issues, looked weak/sick",,,6/22/2020,no,no glioma observable,yes,no,,,,,,,119,1,0,0,,,,,,,,,,1,,,,,,
,22921-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,3/3/2020,3/5/2020,,6/15/2020,6/17/2020,yes,no,Respiratory Issues and paralyzed ,,,6/22/2020,no,no glioma observable,yes,no,,,,,,,106,1,0,0,,,,,,,,,,,,1,,,,
,22922-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,3/3/2020,3/5/2020,,,7/31/2020,yes,no,"Experiment endpoint, behavior and brain all looked normal",,,8/3/2020,no,no glioma observable,yes,no,,,,,,,150,0,0,0,,,,,,,,,,,,,,,1,
,22923-01 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,3/3/2020,3/5/2020,,6/15/2020,6/26/2020,yes,no,paralysis + large tumor in/over eye. Brain looked normal,,,7/6/2020,no,no glioma observable,yes,yes,,,,,,,115,1,1,0,,,,,,1,,,,,,1,,,,
,22924-03 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,3/3/2020,3/5/2020,,,7/31/2020,yes,no,"Experiment endpoint, behavior and disposition noraml. Small tumor on left cranial nerve found.",,,8/3/2020,no,no glioma observable,yes,yes,,,,,,,150,1,1,0,1,1,,,,,,,,,,,,,,
,22925-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,3/3/2020,3/5/2020,,6/16/2020,6/18/2020,yes,no,"protruding rectum, difficulty walking.  large white mass under brain. Rick thinks enlarged pituitary",,1,6/22/2020,mass under brain,tumor under brain ,yes,yes,yes,,,,,,107,1,1,0,,,,,,,,,,,,,,,,
