"","mouse_num","had_tumor","patho_notes","patho_tumor_grade","tumor_grade_post_h_e","notes","necropsy_comments","necropsy_behavior_comments","brain_h_e_and_ihc_notes"
"1",29409,1,"Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.","Grade II Infiltrating Astrocytoma","Grade II Infiltrating Astrocytoma","ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead.","ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22",NA,NA
"2",29387,1,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.","Infiltrating Astrocytoma","Infiltrating Astrocytoma","small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation","small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",NA,NA
"3",26012,1,"Concentration surrounding blood vessels. Evidence of perineuronal cytosis. pERK on leading edges of tumor. Est. 50% ki67+","High Grade Infiltrating Glioma",NA,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal",NA,NA
"4",28204,1,"ki67+ cells on a peripheral nerve-possibly optic? Similar to 28205","Pre-tumorigenic, possible OPG",NA,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver","Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver",NA,NA
"5",26281,1,"Neuroepithelial tumor, extra-aximal. Excellent PTEN staining. (*lymphocytes also stain ki67 + but have much bigger nuclei*)","High Grade",NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy",NA,NA
"6",26280,1,"Pilocytic morphology. Glial tumor with high mitotic activity. Slice of nerve, possibly optic  nerve.","High Grade",NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with",NA,NA
"7",28202,1,"Similar morphology to 26281. Mitotically active. H&E looks like a nerve at the base of the brain. Brain has signs of necrosis, high grade.","High Grade, possible OPG",NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.","intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",NA,NA
"8",28200,1,"Elongated nuclei and fascicular growth present. Ganglion cells are mitotically active. Possible Ganglioneuroma. Possible nerve sheath tumor because of the abundant mitotic activity not typical for ganglioneuromas","Possible ganglioneuroma",NA,"intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal","intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal",NA,NA
"9",28208,1,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","Infiltrating Glioblastoma and possible gliosarcoma",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",NA,NA
"10",28208,1,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","Infiltrating Glioblastoma and possible gliosarcoma",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",NA,NA
"11",26014,1,"Lots of mitotically active neoplasm invading into the skeletal muscle. PTEN lost in most tumor cells, but not all. Possible gliosarcoma","Possible gliosarcoma",NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord",NA,NA
"12",26037,1,"Appears mildly glial in origin, another possible gliosarcoma. Infiltrating the skeletal muscle. Lots of mitotic activity. Fibrillary background.","High Grade",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","mouse appears normal except for large head tumor.",NA,NA
"13",26276,1,"Glial and fascicular tumor infiltrating into the fat, skeletal muscle, and a lymph node. PTEN lost in a subset of tumor cells.","Gliosarcoma?",NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.",NA,NA
"14",26274,1,"Invading into the skeletal muscle. Glial in origin, with lots of mitotic activity. Focal fascicular growth present.","High Grade",NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen",NA,NA
"15",28207,1,"Tumor is eating its way into the scalp. Fascicular. Possible sarcoma or angiosarcoma.","Angiosarcoma?",NA,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal",NA,NA
"16",28203,1,"Tumor appears glial in origin. Possible gliosarcoma.","Gliosarcoma?",NA,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs",NA,NA
"17",25238,1,NA,NA,NA,"extracranial tumor, no glioma",NA,NA,NA
"18",26007,1,NA,NA,NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)",NA,NA,NA
"19",26009,1,NA,NA,NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.",NA,NA,NA
"20",26010,1,NA,NA,NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine",NA,NA
"21",26011,1,NA,NA,NA,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.",NA,NA,NA
"22",26022,1,NA,NA,NA,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.",NA,NA,NA
"23",26023,1,NA,NA,NA,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze",NA,NA,NA
"24",26279,1,NA,NA,NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.",NA,NA,NA
"25",26305,1,NA,NA,NA,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",NA,NA,NA
"26",26306,1,NA,NA,NA,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with",NA,NA,NA
"27",26307,1,NA,NA,NA,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA
"28",26310,1,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA
"29",26311,1,NA,NA,NA,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",NA,NA,NA
"30",28201,1,NA,NA,NA,"found dead, tumor over left eye.",NA,NA,NA
"31",28206,1,NA,NA,NA,"found dead with swollen head.",NA,NA,NA
"32",28208,1,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",NA,NA
"33",28525,1,NA,NA,NA,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.",NA,NA,NA
"34",28526,1,NA,NA,NA,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve. Bulging eyeball",NA,NA,NA
"35",28527,1,NA,NA,NA,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor",NA,NA,NA
"36",28528,1,NA,NA,NA,"Swollen brain, watery and soft. Lungs and liver looked healthy.",NA,NA,NA
"37",28529,1,NA,NA,NA,"Swollen brain, blood in the skull prior to skull incision. Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",NA,NA,NA
"38",28530,1,NA,NA,NA,"Glioma, no tumor visible but paralysis present. Swollen brain, blood in the skull prior to skull incision",NA,NA,NA
"39",28531,1,NA,NA,NA,"Swollen brain, blood in the skull prior to skull incision. Brain was incredibly soft, difficult to remove",NA,NA,NA
"40",28532,1,NA,NA,NA,"no obs. Tumor, paralyzed",NA,NA,NA
"41",29164,NA,NA,NA,NA,"squishy brain",NA,NA,NA
"42",29385,NA,NA,NA,NA,NA,NA,NA,NA
"43",29386,NA,NA,NA,NA,NA,NA,NA,NA
"44",29388,NA,NA,NA,NA,NA,NA,NA,NA
"45",29389,NA,NA,NA,NA,NA,NA,NA,NA
"46",29390,NA,NA,NA,NA,NA,NA,NA,NA
"47",29397,NA,NA,NA,NA,NA,NA,NA,NA
"48",29398,NA,NA,NA,NA,NA,NA,NA,NA
"49",29399,NA,NA,NA,NA,NA,NA,NA,NA
"50",29400,NA,NA,NA,NA,NA,NA,NA,NA
"51",29401,NA,NA,NA,NA,NA,NA,NA,NA
"52",29403,NA,NA,NA,NA,NA,NA,NA,NA
"53",29404,NA,NA,NA,NA,NA,NA,NA,NA
"54",29405,NA,NA,NA,NA,NA,NA,NA,NA
"55",29406,NA,NA,NA,NA,NA,NA,NA,NA
"56",29818,NA,NA,NA,NA,NA,NA,NA,NA
"57",29819,NA,NA,NA,NA,NA,NA,NA,NA
"58",29820,NA,NA,NA,NA,NA,NA,NA,NA
"59",29821,NA,NA,NA,NA,NA,NA,NA,NA
"60",29822,NA,NA,NA,NA,NA,NA,NA,NA
"61",29824,NA,NA,NA,NA,NA,NA,NA,NA
"62",30212,NA,NA,NA,NA,NA,NA,NA,NA
"63",30213,NA,NA,NA,NA,NA,NA,NA,NA
"64",30214,NA,NA,NA,NA,NA,NA,NA,NA
"65",30215,NA,NA,NA,NA,NA,NA,NA,NA
"66",30216,NA,NA,NA,NA,NA,NA,NA,NA
"67",30217,NA,NA,NA,NA,NA,NA,NA,NA
"68",30218,NA,NA,NA,NA,NA,NA,NA,NA
"69",30232,NA,NA,NA,NA,NA,NA,NA,NA
"70",30233,NA,NA,NA,NA,NA,NA,NA,NA
"71",30234,NA,NA,NA,NA,NA,NA,NA,NA
"72",30235,NA,NA,NA,NA,NA,NA,NA,NA
"73",30236,NA,NA,NA,NA,NA,NA,NA,NA
"74",30237,NA,NA,NA,NA,NA,NA,NA,NA
"75",22845,1,NA,NA,NA,NA,NA,"cyst/tumer (externally palpable) causing inability to open left eye",NA
"76",22846,1,NA,NA,NA,NA,NA,"having a hard time moving, oddly shaped head","tumor outside of brain"
"77",22923,1,NA,NA,NA,NA,NA,"paralysis + large tumor in/over eye. Brain looked normal","no glioma observable"
"78",22924,1,NA,NA,NA,NA,NA,"Experiment endpoint, behavior and disposition noraml. Small tumor on left cranial nerve found.","no glioma observable"
"79",22925,1,NA,NA,NA,NA,NA,"protruding rectum, difficulty walking.  large white mass under brain. Rick thinks enlarged pituitary","tumor under brain"
"80",22926,1,NA,NA,NA,NA,NA,"domed head and external tumor invading left eye",NA
"81",23021,1,NA,NA,NA,NA,NA,"Large domed head and disfigurement, difficulty moving back legs (paralysis). Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull","whole head sectioned with head tumor"
"82",23286,1,NA,NA,NA,NA,NA,"Slightly enlarged posterior cranial nerves but brain looked normal","no glioma observable"
"83",23287,1,NA,NA,NA,NA,NA,"Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on/in eye as well.","tumor under brain"
"84",23288,1,NA,NA,NA,NA,NA,"Very large domed head, disfigurement, growth over eye and paralyzation of back legs. Tumor enveloping skull.","whole head sectioned with head tumor"
"85",23290,1,NA,NA,NA,NA,NA,"Slightly enlarged cranial nerves but brain looked normal","no glioma observable"
"86",23291,1,NA,NA,NA,NA,NA,"Effectively blind, tumors on face and head completely swelled eyes shut.","small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present"
"87",23293,1,NA,NA,NA,NA,NA,"Difficulty breathing, looked sick, slightly mishapen head. Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain. Could not see any cranial nerves.","Sheri noticed leptomeningeal tumor, looks like bits of tumor attached to base of brain, tumor is Ki67+, doesn't look like it is infiltrating though"
"88",23294,1,NA,NA,NA,NA,NA,"Very large tumor growing outside of skull + complete paralysis","low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain"
"89",23295,1,NA,NA,NA,NA,NA,"3-4 Tumors on head larger than 2 cm. Brain slightly smaller than would be expected but otherwise normal","looks like the brain wasn't fixed well because it didn't slice cleanly, no observable glioma"
"90",23297,1,NA,NA,NA,NA,NA,"mouse was paralyzed and slightly disfigured, brain looked normal","no glioma observable"
"91",23299,1,NA,NA,NA,NA,NA,"Complete paralysis and two small growths on skull.","no glioma observable"
"92",23301,1,NA,NA,NA,NA,NA,"Paralyzed and difficulty breathing. Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.","no glioma observable"
"93",23397,1,NA,NA,NA,NA,NA,"complete paralysis + very hunched back and large white tumor underneath left parietal lobe","tumor under brain"
"94",23401,NA,NA,NA,NA,NA,NA,"Leg was broken mouse was sacked, mouse removed from study",NA
