mouse_num,organ,event,tumor_type,all_tumor_type,grade,loc,strain_injection,resultant_geno,aod
22925,B,1,1.01,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,105
23287,B,1,1.01,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,87
23021,B,1,1.01-b,a2,high grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,93
23467,B,1,1.01.3,a2,high grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,107
23021,B,1,1.02,a3,mid grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,93
23288,B,1,1.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,71
25027,B,1,1.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,77
25504,T1,1,1.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,60
26024,B,1,1.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,54
23291,B,1,1.04,a5,low grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,85
23294,B,1,1.05,a6,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,107
23298,B,1,1.06,a7,low grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,94
23467,B,1,1.07,a8,low grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,107
23527,B,1,1.08,a9,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,95
25025,B,1,1.08,a9,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,105
28528,B,1,1.08,a9,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,130
28529,B,1,1.08,a9,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,107
28528,B,1,1.10,a11,high grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx KO,130
22846,B,1,2.01,a12,mid grade,adjacent,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,102
23966,B,1,2.01,a12,mid grade,adjacent,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,106
26274,T1,1,2.01,a12,mid grade,adjacent,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,94
28202,B,1,2.01,a12,mid grade,adjacent,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,74
23397,B,1,2.02,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,76
23823,B,1,2.02,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,53
23826,B,1,2.02,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,63
25767,B,1,2.02,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,79
28200,T1,1,2.02,a1,mid grade,in brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,108
23463,B,1,2.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,70
23465,B,1,2.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,70
25743,B,1,2.03,a4,high grade,outside brain,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,79
23786,B,1,2.04,a12,high grade,adjacent,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",nf1 KO; pten KO; ink KO; atrx wt,64
