exclude,mouse_num,src,strain_injection,strain,injected_with,resultant_geno,dob,injection_date,death_date_true,aod,exp_end_date,behavior_date,mri_imaging_date,observable_tumor_date,end_date,found_dead,injected_by,number_of_cells_injected,vol_injected,index,mouse_id,cage_strain,ntva,pten,ink4a,atrx,h11cas9,tyr_cre,cic,dtva,cage_number,sex,g_comments,metadata
3,22841,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,tva negative,2020-02-17,2020-02-20,2020-05-20,90,NA,2020-05-20,NA,NA,NA,NA,RH,5x105,5uL,6525,22841-00,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,+/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-2,M,Stopped moving,TVA- on cohort data and/or genotyping
1,22843,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,tva negative,2020-02-17,2020-02-20,2020-07-20,151,2020-07-20,NA,NA,NA,NA,NA,RH,5x105,5uL,6527,22843-03,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-1,M,Sacked for TVA status,TVA- on cohort data and/or genotyping
NA,22844,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-02-17,2020-02-20,2020-06-11,112,NA,2020-06-11,NA,NA,NA,NA,RH,5x105,5uL,6528,22844-10,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-2,M,"Mishapen head, paralyzed and was sacked.",NA
NA,22845,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-02-17,2020-02-20,2020-04-05,45,NA,2020-04-05,NA,NA,NA,NA,RH,5x105,5uL,6529,22845-30,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-1,F,sac - not able to open left eye due to cyst/possible tumor,NA
NA,22846,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-02-17,2020-02-20,2020-06-01,102,NA,2020-05-29,NA,NA,NA,NA,RH,5x105,5uL,6530,22846-11,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-1,F,Difficulty walking and breathing,NA
NA,22847,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-02-17,2020-02-20,2020-06-15,116,NA,2020-06-11,NA,NA,NA,NA,RH,5x105,5uL,6531,22847-31,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1356-1-1,F,Laboured breathing. Sacked,NA
NA,22921,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-06-17,104,NA,2020-06-15,NA,NA,NA,NA,RH,5x105,5uL,6628,22921-00 (br),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-1,F,"Partially paralyzed, difficulty walking",NA
NA,22922,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-07-31,148,2020-07-31,NA,NA,NA,NA,NA,RH,5x105,5uL,6629,22922-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-1,F,Experimental endpoint,NA
NA,22923,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-06-26,113,NA,2020-06-15,NA,NA,NA,NA,RH,5x105,5uL,6630,22923-01 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-1,F,"Partially paralyzed, difficulty walking",NA
NA,22924,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-07-31,148,2020-07-31,NA,NA,NA,NA,NA,RH,5x105,5uL,6631,22924-03 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-1,F,Experimental endpoint,NA
