mouse_num,initials,nec_date,sex,strain,sac_date,injection_date,virus,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,rcas_injection,injection_route,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,comments,tumor_bool
22841,ZL,5/20/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,5/20/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22843-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,Partially paralyzed. ... Mouse stopped moving.,0
22844,ZL,6/11/2020,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/11/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22844-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Diffiulty moving and walking, mishapen head. ... Mishapen head, could not move.",0
22846,ZL,6/1/2020,F,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22846-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Difficulty moving, weirdly shaped head. ... Difficulty moving and breathing, mishapen head.",0
22847,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/15/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22847-BR,1,yes,NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,"Respiratory Issues, looked sick. ... Respiratory Issues, looked sick.",0
22921,ZL,6/17/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/17/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22921-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Respiratory Issues and paralyzed no domed head observed. ... Respiratory Issues and paralyzed.,0
22922,ZL,7/31/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Brain and behavior was normal. ... Healthy.,0
22923,ZL,6/15/2020,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22923-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,brain looked normal. ... paralysis + large tumor in/over eye.,1
22924,ZL,7/31/2020,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,Mouse behavior normal. Small tumor on left cranial nerve. ... Healthy.,1
22925,GP,5/24/2020,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,6/18/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,NA,NA,Yes,HCI-22925-BR,1,yes,NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,"large white mass under brain. Rick thinks enlarged pituitary. ... protruding rectum, difficulty walking.",1
22926,GP,5/24/2020,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,5/24/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,extracranial tumor,NA,Yes,NA,1,yes,NA,Yes,intracranial,3/3/2020,"Brain, extracranial tumor",1,NA,NA,NA,Large tumor invading left eye/domed head.,1
