mouse_num,notes_he_ihc_brain,exclude,src,strain_injection,strain,injected_with,resultant_geno,dob,death_date_true,injection_date,behavior_date,mri_imaging_date,observable_tumor_date,end_date,found_dead,injected_by,number_of_cells_injected,vol_injected,index,mouse_id,cage_strain,ntva,pten,ink4a,atrx,h11cas9,tyr_cre,cic,dtva,cage_number,sex,g_comments,metadata,hci_number,tumor,staining,path,folder,filename,img_date,prep_by,slide_date,slide_label,slide_number,necropsy_file_path
23291,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-06-29,2020-04-05,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA,20,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-36-14-R2-S1.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/,slide-2021-09-16T13-36-14-R2-S1,2021-09-16,RH,NA,NA,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23291,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-06-29,2020-04-05,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA,20,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-02-53-R2-S6.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/,slide-2021-07-09T17-02-53-R2-S6,2021-07-09,RH,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23291,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-06-29,2020-04-05,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA,20,B,Ki67,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T11-22-56-R4-S6.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/,slide-2021-08-19T11-22-56-R4-S6,2021-08-19,RH,NA,Ki67,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23291,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-06-29,2020-04-05,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA,20,B,PERK,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-16T20-21-50-R2-S12.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/,slide-2021-09-16T20-21-50-R2-S12,2021-09-16,RH,2021-09-09,PERK,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23291,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-06-29,2020-04-05,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA,20,B,PTEN,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T12-46-24-R1-S3.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/,slide-2021-09-24T12-46-24-R1-S3,2021-09-24,TE,2021-09-21,PTEN,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23294,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-07-21,2020-04-05,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA,20,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-47-44-R2-S2.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/,slide-2021-09-16T13-47-44-R2-S2,2021-09-16,RH,NA,NA,6,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
23294,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-07-21,2020-04-05,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA,20,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T16-11-41-R2-S5.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/,slide-2021-07-09T16-11-41-R2-S5,2021-07-09,RH,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
23294,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-07-21,2020-04-05,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA,20,B,Ki67,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T10-20-05-R4-S1.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/,slide-2021-08-19T10-20-05-R4-S1,2021-08-19,RH,NA,Ki67,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
23294,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-07-21,2020-04-05,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA,20,B,PERK,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/slide-2021-09-29T11-28-51-R2-S6.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma pErk/,slide-2021-09-29T11-28-51-R2-S6,2021-09-29,RH,2021-09-09,PERK,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
23294,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",NA,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-07-21,2020-04-05,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA,20,B,PTEN,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/slide-2021-09-24T12-22-12-R1-S1.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Pten/,slide-2021-09-24T12-22-12-R1-S1,2021-09-24,TE,2021-09-21,PTEN,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
