hci_number,mouse_num,tumor,staining,path,folder,filename,img_date,prep_by,slide_date,slide_label,slide_number,necropsy_file_path
22,26037,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-46-29-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T08-46-29-R1-S1,2022-06-07,TE,2022-06-12,T1 GFAP TE 612,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
21,26870,T2,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-54-43-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T08-54-43-R1-S2,2022-06-07,TE,2022-06-12,T2 GFAP 612 Ctrl TE,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26870.xlsx
21,26870,T2,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-54-43-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T08-54-43-R1-S2,2022-06-07,TE,2022-06-12,T2 GFAP 612 Ctrl TE,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26870.xlsx
22,26009,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-09-53-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-09-53-R1-S3,2022-06-07,TE,NA,T1 KI 67,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26009.xlsx
22,26009,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-24-08-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-24-08-R1-S4,2022-06-07,TE,NA,T1 GFAP,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26009.xlsx
22,26279,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-38-17-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-38-17-R1-S5,2022-06-07,TE,2022-06-12,T1 GFAP TE 612,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26279.xlsx
22,26014,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-43-14-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-43-14-R1-S6,2022-06-07,TE,2022-06-12,T1 GFAP TE 612,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
22,26276,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-49-18-R1-S7.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-49-18-R1-S7,2022-06-07,TE,2022-06-12,T1 GFAP TE 612,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26276.xlsx
22,26274,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-52-57-R1-S8.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-52-57-R1-S8,2022-06-07,TE,2022-06-12,T1 GFAP TE 612,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-20-26274.xlsx
NA,28202,B,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-57-46-R1-S9.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T09-57-46-R1-S9,2022-06-07,TE,2022-06-12,B GFAP TE 612,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,29409,B,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T10-08-05-R1-S10.mrxs,E:/CaseViewer Files/ihc nf1 glioma/GFAP/,slide-2022-06-07T10-08-05-R1-S10,2022-06-07,TE,2022-06-12,B GFAP TE 612,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29409-10.xlsx
NA,28208,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T11-34-00-R1-S1,2022-06-22,TE,NA,T1 Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28208-11.xlsx
22,26276,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-44-23-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T11-44-23-R1-S2,2022-06-22,TE,2022-05-10,T1 Ki67 TE 5/10,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26276.xlsx
22,26274,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-52-43-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T11-52-43-R1-S3,2022-06-22,TE,2022-05-10,T1 Ki67 TE 5/10,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-20-26274.xlsx
22,28200,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-55-50-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T11-55-50-R1-S4,2022-06-22,TE,2022-05-12,T1 Ki67 TE 5/12,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-28200-00.xlsx
NA,28204,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-00-00-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T12-00-00-R1-S5,2022-06-22,TE,NA,B Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28204-00.xlsx
