mouse_num,resultant_geno,notes_bhe,scan1,scan2,scan3,sample1,sample2,sample3,sheri_has_seen_h_e,nec_performed,src,exclude,metadata,needs_sample
22841,tva negative,no glioma observable,,,,NFG03-001-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,no,1,RH,3,TVA- on cohort data and/or genotyping,0
22843,tva negative,"no glioma observable, but Sheri thinks there may be a leptomeningeal tumor",,,,NFG03-002-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,1,TVA- on cohort data and/or genotyping,0
22844,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-003-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22845,nf1 KO; pten KO; ink KO; atrx wt,,,,,,,,,,RH,,,1
22846,nf1 KO; pten KO; ink KO; atrx wt,tumor outside of brain,22846.B.H&E.2021-07-08,,,NFG03-004-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22847,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-005-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22921,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-006-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22922,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-007-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22923,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-008-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG03-009-NF-1 N-TVA ORIGINAL H&E 22841-25084,,yes,1,RH,,,0
22924,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,,,,yes,1,RH,,,1
22925,nf1 KO; pten KO; ink KO; atrx KO,tumor under brain ,22925.B.H&E.2021-07-09,,,NFG03-010-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
22926,nf1 KO; pten KO; ink KO; atrx KO,,,,,,,,,1,RH,,,1
23021,nf1 KO; pten KO; ink KO; atrx KO,whole head sectioned with head tumor,,,,NFG03-011-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23269,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-012-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23270,nf1 KO; pten KO; ink KO; atrx KO,"Sheri thinks she sees a leptomeningeal tumor in the original H&E, but gone in the second H&E, high background for Ki67 and no pERK, call this negative for glioma",23270.B.H&E.2021-07-09,,,NFG03-013-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-020-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,1,RH,,,0
23271,nf1 KO; pten KO; ink KO; atrx KO,odd necrotic area,,,,NFG03-014-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23286,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-015-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23287,nf1 KO; pten KO; ink KO; atrx KO,tumor under brain ,23287.B.H&E.2021-07-09,,,NFG03-016-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23288,nf1 KO; pten KO; ink KO; atrx KO,whole head sectioned with head tumor,,,,NFG03-017-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23289,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-018-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23290,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-019-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23291,nf1 KO; pten KO; ink KO; atrx KO,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",23291.B.H&E.2021-07-09,23291.B.H&E.2021-09-16,,NFG03-020-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-065-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23292,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-021-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23293,nf1 KO; pten KO; ink KO; atrx KO,"Sheri noticed leptomeningeal tumor, looks like bits of tumor attached to base of brain, tumor is Ki67+, doesn't look like it is infiltrating though",23293.B.H&E.2021-07-09,,,NFG03-022-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-023-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,1,RH,,,0
23294,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",23294.B.H&E.2021-07-09,23294.B.H&E.2021-09-16,,NFG03-023-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-066-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23295,nf1 KO; pten KO; ink KO; atrx KO,"looks like the brain wasn't fixed well because it didn't slice cleanly, no observable glioma",,,,NFG03-024-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23296,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-025-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23297,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-026-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-21 vs. 2020-08-04 used cohort date but can exclude from analysis if desired.,0
23298,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-027-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
