loc_1,slot,mouse_num,organ,stain,note,exclude,resultant_geno,aod,event,found_dead,has_nec,has_ffpe,he_scan,go_notes
NFG17,21,23294,,,nf1 project,,nf1 KO; pten KO; ink KO; atrx KO,107,1,,1,1,1,
NFG17,13,23295,tumor,,,,nf1 KO; pten KO; ink KO; atrx KO,113,1,,1,1,,
NFG17,22,23301,spco,,nf1 project,,nf1 KO; pten KO; ink KO; atrx KO,103,1,,1,1,,
NFG17,7,23524,,,spco,,nf1 KO; pten KO; ink KO; atrx KO,84,1,,1,1,1,
NFG17,8,23524,,,e7??,,nf1 KO; pten KO; ink KO; atrx KO,84,1,,1,1,1,
NFG17,16,23824,head tumor,,,,nf1 KO; pten KO; ink KO; atrx wt,48,1,,1,1,,
NFG17,14,23828,,,nf1 control,,nf1 KO; pten KO; ink KO; atrx wt,84,1,,1,1,,
NFG17,3,25027,,,project,,nf1 KO; pten KO; ink KO; atrx KO,77,1,,1,1,1,
NFG18,3,25304,,,,,nf1 wt; pten KO; ink KO; atrx wt,149,0,,1,,,
NFG18,21,25305,,,,,nf1 wt; pten KO; ink KO; atrx wt,149,0,,1,,,
NFG18,12,25307,,,,,nf1 wt; pten KO; ink KO; atrx wt,149,0,,1,,,
NFG18,19,25308,,,,,nf1 wt; pten KO; ink KO; atrx wt,149,0,,1,,,
NFG18,4,25309,,,,,nf1 wt; pten KO; ink KO; atrx wt,149,0,,1,,,
NFG18,9,25328,,,illegible,,nf1 wt; pten KO; ink KO; atrx KO,150,0,,1,,,
NFG17,9,25501,tumor,,,,nf1 KO; pten KO; ink KO; atrx KO,125,1,,1,1,,
NFG18,14,25548,,,,,nf1 wt; pten KO; ink KO; atrx KO,157,0,,1,,,
NFG18,17,25549,,,,,nf1 wt; pten KO; ink KO; atrx KO,157,0,,1,,,
NFG19,9,25550,,,,,nf1 wt; pten KO; ink KO; atrx KO,157,0,,1,,,
NFG18,5,25595,,,,,nf1 wt; pten KO; ink KO; atrx KO,151,0,,1,,,
NFG18,8,25597,,,,,nf1 wt; pten KO; ink KO; atrx KO,151,0,,1,,,
NFG18,11,25692,t1,,,,nf1 KO; pten KO; ink KO; atrx wt,111,1,1,1,1,1,
NFG18,18,25692,t2,,,,nf1 KO; pten KO; ink KO; atrx wt,111,1,1,1,1,1,
NFG17,10,25695,tumor,,,,nf1 KO; pten KO; ink KO; atrx wt,97,1,1,1,1,1,
NFG17,19,25742,cranial nerve,,,,nf1 KO; pten KO; ink KO; atrx wt,98,1,,1,1,1,
NFG18,10,25745,t1,,,,nf1 KO; pten KO; ink KO; atrx wt,105,1,,1,1,,
NFG19,11,25782,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,18,25783,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,3,25784,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,19,25785,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,20,25787,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,2,25788,,,,,nf1 wt; pten KO; ink KO; atrx KO,149,0,,1,,,
NFG19,14,26007,t1,,decalc*,,nf1 KO; pten KO; ink KO; atrx wt,81,1,,1,1,,
NFG19,23,26010,t1,,declac*,,nf1 KO; pten KO; ink KO; atrx wt,81,1,,1,1,1,
NFG19,22,26011,head tumor,,,,nf1 KO; pten KO; ink KO; atrx wt,63,1,,1,1,,
NFG17,2,26022,tumor,,,,nf1 KO; pten KO; ink KO; atrx KO,69,1,,1,1,1,
NFG18,25,26023,t1,,,,nf1 KO; pten KO; ink KO; atrx KO,108,1,,1,1,,
NFG18,1,26038,t1,,decals?? *,,nf1 KO; pten KO; ink KO; atrx wt,77,1,,1,1,,
NFG18,22,26139,t1,,,,nf1 KO; pten KO; ink KO; atrx wt,92,1,,1,1,,
NFG19,1,26305,t1,,,,nf1 KO; pten KO; ink KO; atrx KO,78,1,,1,1,,
NFG19,4,26307,t1,,,,nf1 KO; pten KO; ink KO; atrx KO,51,1,,1,1,,
NFG19,13,26310,t1,,,,nf1 KO; pten KO; ink KO; atrx KO,51,1,,1,1,1,
NFG18,13,26311,,,,,nf1 KO; pten KO; ink KO; atrx KO,51,1,,1,1,,
NFG20,7,28708,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,186,0,,1,1,,
NFG20,3,28709,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,186,0,,1,1,1,
NFG20,10,28710,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,186,0,,1,1,1,
NFG20,11,28780,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,182,0,,1,1,1,
NFG20,6,28781,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,182,0,,1,1,1,
NFG20,2,28782,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,182,0,,1,1,1,
NFG20,1,28783,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,182,0,,1,1,1,
NFG20,12,28784,bll,,,,nf1 KO; pten wt; ink wt; atrx wt,182,0,,1,1,1,
NFG17,17,23469,spco,,,,nf1 KO; pten KO; ink KO; atrx KO,87,1,,1,1,,
NFG17,23,23824,spco,,,,nf1 KO; pten KO; ink KO; atrx wt,48,1,,1,1,,
