mouse_num,base2,resultant_geno,notes_bhe,sheri_has_seen_h_e,tumor_grade_post_h_e,src,exclude,metadata
22846,22846.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,tumor outside of brain,yes,,RH,,
22925,22925.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,tumor under brain ,yes,,RH,,
23270,23270.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"Sheri thinks she sees a leptomeningeal tumor in the original H&E, but gone in the second H&E, high background for Ki67 and no pERK, call this negative for glioma",yes,,RH,,
23287,23287.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,tumor under brain ,yes,,RH,,
23291,23291.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx KO,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",yes,,RH,,
23291,23291.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",yes,,RH,,
23293,23293.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"Sheri noticed leptomeningeal tumor, looks like bits of tumor attached to base of brain, tumor is Ki67+, doesn't look like it is infiltrating though",yes,,RH,,
23294,23294.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",yes,,RH,,
23294,23294.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",yes,,RH,,
23397,23397.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,tumor under brain ,yes,,RH,,
23467,23467.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"big tumor on slide outside of brain, grade 2-3",yes,,RH,,
23524,23524.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"originally thought there might be a leptomeningeal tumor, but not able to verify by second H&E, Ki67 or pERK",yes,,RH,,
23526,23526.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx KO,"originally thought there might be a glioma, but nothing seen in second H&E or Ki67",yes,,RH,,
23527,23527.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma in center section towards the side, Ki67 and pERK are not that distinct, but they are positive, PTEN looks less positive in tumor except for positive staining vasculature",yes,,RH,,
23527,23527.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma in center section towards the side, Ki67 and pERK are not that distinct, but they are positive, PTEN looks less positive in tumor except for positive staining vasculature",yes,,RH,,
23785,23785.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,,,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-13 vs. 2020-08-07 used cohort date but can exclude from analysis if desired.
23785,23785.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,,,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-13 vs. 2020-08-07 used cohort date but can exclude from analysis if desired.
23786,23786.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"large high grade glioma at the base of brain in the center and back sections, palisading necrosis and abnormal vasculature, Ki67 is high throughout except for a distinct shape at the center of the tumor (lymphocytes?) and the necrotic areas, pERK is more expressed towards the bottom edges and absent in that lymphocyte region, PTEN is clearly low in tumor except for vasculature and the lymphocyte region",yes,,RH,,
23786,23786.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"large high grade glioma at the base of brain in the center and back sections, palisading necrosis and abnormal vasculature, Ki67 is high throughout except for a distinct shape at the center of the tumor (lymphocytes?) and the necrotic areas, pERK is more expressed towards the bottom edges and absent in that lymphocyte region, PTEN is clearly low in tumor except for vasculature and the lymphocyte region",yes,,RH,,
23787,23787.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"tumor tissue was thought to be on the side, but not seen in the second H&E and no Ki67 observed",yes,,RH,,
23791,23791.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"tumor under brain, high grade",yes,,RH,,
23792,23792.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed",yes,,RH,,
23792,23792.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed",yes,,RH,,
23823,23823.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts",yes,,RH,,
23823,23823.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts",yes,,RH,,
23826,23826.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,tumor tissue visible under brain,yes,,RH,,
23866,23866.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels",yes,,RH,,
23866,23866.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels",yes,,RH,,
23966,23966.B.H&E.2021-09-29,nf1 KO; pten KO; ink KO; atrx wt,"some tumor can be seen on the edge, tumor is Ki67+",yes,,RH,,
23966,23966.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"some tumor can be seen on the edge, tumor is Ki67+",yes,,RH,,
23967,23967.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx wt,"there is tumor tissue under the brain, tumor ios Ki67+",yes,,RH,,
24986,24986.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,,,,RH,,
24988,24988.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,"looks like there are pieces of tumor in the slide, but disconnected from the brain",yes,,RH,,
25025,25025.B.H&E.2021-09-29,nf1 KO; pten KO; ink KO; atrx KO,"large high grade glioma present, Ki67+",yes,,RH,,
25025,25025.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx KO,"large high grade glioma present, Ki67+",yes,,RH,,
25503,25503.B.H&E.2021-07-08,nf1 KO; pten KO; ink KO; atrx KO,"neurons are visible within the tumor, suggesting this is a PNST, not infiltrating, looks leptomeningeal, Ki67 positive, pERK low",yes,,RH,,
