,,,,,,,,
slot,Mouse ID,Organ,Stain,note,Box Label,sample type,Loc,container
1,28525,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
2,28530,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
3,28531,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
4,29818,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
5,29818,ON,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
6,29819,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
7,29819,ON,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
8,29820,B,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
9,29820,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
10,29821,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
11,29821,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
12,29822,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
13,29822,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
14,29823,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
15,29823,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
16,30212,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
17,30212,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
18,30213,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
19,30213,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
20,30214,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
21,30214,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
22,30214,t1,HE,*,NF1 Glioma,Slide,NFG01,White Slide Box
23,30215,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
24,30215,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
25,30216,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
26,30216,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
27,30217,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
28,30217,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
29,30218,b,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
30,30218,on,HE,,NF1 Glioma,Slide,NFG01,White Slide Box
31,26007,,HE,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
32,26010,,HE,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
33,26276,T1,perk,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
34,26276,T1,ki67,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
35,26276,T1,pten,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
36,26276,T1,synap,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
37,26274,T1,ki67,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
38,26274,T1,perk,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
39,26274,,HE,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
40,26274,T1,pten,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
41,26014,T1,ki67,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
42,26014,T1,ki67,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
43,26014,T1,synap,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
44,26014,T1,pten,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
45,26014,,HE,,Nf1 Glioma Spinal Cord Tumors,Slide,NFG01,White Slide Box
46,28207,T1,gfap,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
47,28200,T1,gfap,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
48,28200,B,HE,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
49,26009,B,HE,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
50,26009,T1,ki67,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
51,26009,T1,perk,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
52,26009,T1,ki67,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
53,26279,T1,synap,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
54,26279,T1,perk,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
55,26279,,HE,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
56,26279,T1,ki67,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
57,26279,T1,olig2,,NF1 Glioma Extracranial Tumors #2,Slide,NFG01,White Slide Box
58,30232,B,HE,,NF1 glioma,Slide,NFG01,White Slide Box
59,30232,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
60,30233,b,HE,,NF1 glioma,Slide,NFG01,White Slide Box
61,30233,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
62,30234,b,HE,,NF1 glioma,Slide,NFG01,White Slide Box
63,30234,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
64,30235,b,HE,,NF1 glioma,Slide,NFG01,White Slide Box
65,30235,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
66,30236,b,HE,,NF1 glioma,Slide,NFG01,White Slide Box
67,30236,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
68,30237,b,HE,,NF1 glioma,Slide,NFG01,White Slide Box
69,30237,on,HE,,NF1 glioma,Slide,NFG01,White Slide Box
