mouse_num,organ,stain,tumor,size,send_for_rna,annotated_mrxs,aod,resultant_geno,x,current_loc,current_slot
23287,B,HE,1.01,21,NA,NA,87,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,016
22925,B,HE,1.01,9.1,NA,NA,105,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,010
23021,B,HE,1.01-b,1.6,NA,NA,93,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,1
23467,B,HE,1.01.3,37,NA,NA,107,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,039
23021,B,HE,1.02,56,NA,NA,93,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,1
26024,B,HE,1.03,160,NA,mtob,54,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,4
25504,T1,HE,1.03,130,NA,NA,60,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,3
25027,B,HE,1.03,126,NA,tob,77,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,42
25026,B,HE,1.03,83,NA,tob,82,nf1 KO; pten KO; ink KO; atrx KO,2,scanned 1,11
25029,B,HE,1.03,69,NA,tob,75,nf1 KO; pten KO; ink KO; atrx KO,2,scanned 1,43
23288,B,HE,1.03,57,NA,NA,71,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,2
23291,B,HE,1.04,5,NA,NA,85,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,020
23294,B,HE,1.05,2.2,NA,NA,107,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,023
23298,B,HE,1.06,2.5,NA,NA,94,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,49
23467,B,HE,1.07,1.5,NA,NA,107,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,039
28529,B,HE,1.08,15,NA,great intracranial tumor.,107,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,10
23527,B,HE,1.08,3,NA,NA,95,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,049
28529,B,HE,1.08,1.4,NA,great intracranial tumor.,107,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,10
25025,B,HE,1.09,89,NA,massive ppn inside brain,105,nf1 KO; pten KO; ink KO; atrx KO,NA,NFG03,088
28528,B,HE,1.10,18,NA,possible mengimoma-looking..,130,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,12
28528,B,HE,1.10,3,NA,possible mengimoma-looking..,130,nf1 KO; pten KO; ink KO; atrx KO,NA,scanned 1,12
26274,T1,HE,2.01,18,NA,"could profile, but a bit difficult to see exactly where tumor was in relation to brain.",94,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,16
28202,B,HE,2.01,7,NA,*plus t1 slide,74,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,18
23966,B,HE,2.01,4,NA,NA,106,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,071
22846,B,HE,2.01,1.4,NA,NA,102,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,004
23823,B,HE,2.02,25,NA,NA,53,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,061
23397,B,HE,2.02,21,NA,NA,76,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,031
26140,B,HE,2.02,20,NA,large tumor inside? brain.,149,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,14
28200,T1,HE,2.02,15,NA,"massive tumor, need brain slide to ascertain position",108,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,17
23826,B,HE,2.02,5,NA,NA,63,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,063
25767,B,HE,2.02,4,NA,NA,79,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG14,061
23465,B,HE,2.03,206,NA,mtob,70,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,6
25743,B,HE,2.03,191,NA,mtob,79,nf1 KO; pten KO; ink KO; atrx wt,NA,for scan 2,6
23463,B,HE,2.03,140,NA,mtob,70,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,5
23786,B,HE,2.04,48,NA,"large tumor, mostly outside brain, Some pushing into brain. not as separated as other mtobs",64,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,054
24988,B,HE,2.04,22,NA,NA,127,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,086
23967,B,HE,2.04,15,NA,NA,89,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,072
28208,B,HE,2.04,12,Y,diverse tumor areas with high grade appearance plus aan.,69,nf1 KO; pten KO; ink KO; atrx wt,NA,scanned 1,19
23791,B,HE,2.04,8,NA,NA,68,nf1 KO; pten KO; ink KO; atrx wt,NA,NFG03,058
