Mouse Number,Strain,Virus,Tyr-Cre Status,Gender,DOB,Injection Date,Tumor Noticed,Behavior Noticed,Death Date,End Date,MRI Imaging Date,Age of Tumor Onset,Age of Behavior Onset,Age at Death,Tumor Locations,Tumor Grade (Post-H&E),Notes,
28708-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,12/1/2021,12/3/2021 (RH),,,6/7/2022,,4/28/2022,,,188,,,no evidence of tumor,
28709-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,12/1/2021,12/3/2021 (RH),,4/5/2022,6/7/2022,,4/28/2022,,,188,,,no evidence of tumor,
28710-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,12/1/2021,12/3/2021 (RH),,4/5/2022,6/7/2022,,4/28/2022,,,188,,,no evidence of tumor,
28780-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,12/6/2021,12/7/2021 (RH),,1/3/2022,6/7/2022,,4/28/2022,,,183,,,slightly hunched back but no evidence of tumor,
28781-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,12/6/2021,12/7/2021 (RH),,,6/7/2022,,4/28/2022,,,183,,,no evidence of tumor,
28782-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,12/6/2021,12/7/2021 (RH),,,6/7/2022,,4/28/2022,,,183,,,no evidence of tumor,
28783-03,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,12/6/2021,12/7/2021 (RH),,,6/7/2022,,4/28/2022,,,183,,,no evidence of tumor,
28784-10,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,12/6/2021,12/7/2021 (RH),,,6/7/2022,,4/28/2022,,,183,,,no evidence of tumor,
29163-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,1/18/2022,1/20/2022 (RE),,,6/21/2022,,5/18/2022,,,154,,,no evidence of tumor,
29164-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,1/18/2022,1/20/2022 (RE),,,6/21/2022,,5/18/2022,,,154,,,squishy brain,
29165-10,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,1/18/2022,1/20/2022 (RE),,,6/21/2022,,5/18/2022,,,154,,,no evidence of tumor,
29166-11,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,1/18/2022,1/20/2022 (RE),,,6/21/2022,,5/18/2022,,,154,,,no evidence of tumor,
29397-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29398-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29399-03,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29400-10,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29401-30,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29403-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29404-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29405-10,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2/10/2022,2/10/2022 (RE),,,,7/10/2022,6/10/2022,,,,,,,
29161-00,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,1/18/2022,1/20/2022 (RE),,3/15/2022,3/15/2022,,,,56,56,,NED but check pathology?,"Lost weight, extreme hunchback, head twitching, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found",
29162-01,N-TVA::H11LSL-Cas9,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,1/18/2022,1/20/2022 (RE),,3/15/2022,3/15/2022,,,,56,56,,NED but check pathology?,"Lost weight, mild hunchback, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found. Enlarged optic nerve",
Cohort Averages,"N=22, 20 w/o 29161 and 29162",,,,,,,,,,,,56,136.75,,,,
Median,,,,,,,,,,,,,,,,,,
29385-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2/9/2022,2/10/2022 (RE),,,,7/9/2022,6/9/2022,,,,,,,
29386-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,2/9/2022,2/10/2022 (RE),,,,7/9/2022,6/9/2022,,,,,,,
29406-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,2/9/2022,2/10/2022 (RE),,,,7/9/2022,6/9/2022,,,,,,,
29388-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2/9/2022,2/10/2022 (RE),,4/4/2022,,7/9/2022,6/9/2022,,54,,,,,
29389-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2/9/2022,2/10/2022 (RE),,4/4/2022,6/10/2022,,6/9/2022,,54,121,,,,
29390-11,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2/9/2022,2/10/2022 (RE),,4/5/2022,6/10/2022,,6/9/2022,,55,121,,,,
29818-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,F,3/23/2022,3/24/22 (RE),,5/9/2022,,8/20/2022,7/21/2022,,47,,,,,
29819-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,3/23/2022,3/24/22 (RE),,5/9/2022,,8/20/2022,7/21/2022,,47,,,,,
