mouse_num,dob,injection_date,death_date,tumor_noticed,behavior_noticed,strain,virus,src,age_death_capped,elapsed_from_tumor,elapsed_from_behavior,genes_ko,had_tumor
22841,2020-02-17,2020-02-20,2020-05-20,NA,2020-05-20,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,90,NA,0,nf1 KO;pten KO;ink KO;atrx wt,FALSE
22844,2020-02-17,2020-02-20,2020-06-11,NA,2020-06-11,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,112,NA,0,nf1 KO;pten KO;ink KO;atrx wt,FALSE
22845,2020-02-17,2020-02-20,2020-04-05,NA,2020-04-05,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,45,NA,0,nf1 KO;pten KO;ink KO;atrx wt,TRUE
22846,2020-02-17,2020-02-20,2020-06-01,NA,2020-05-29,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,102,NA,3,nf1 KO;pten KO;ink KO;atrx wt,TRUE
22847,2020-02-17,2020-02-20,2020-06-15,NA,2020-06-11,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,116,NA,4,nf1 KO;pten KO;ink KO;atrx wt,FALSE
22921,2020-03-03,2020-03-05,2020-06-17,NA,2020-06-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,104,NA,2,nf1 KO;pten KO;ink KO;atrx KO,FALSE
22922,2020-03-03,2020-03-05,2020-07-31,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,300,NA,NA,nf1 KO;pten KO;ink KO;atrx KO,FALSE
22923,2020-03-03,2020-03-05,2020-06-26,NA,2020-06-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,113,NA,11,nf1 KO;pten KO;ink KO;atrx KO,TRUE
22924,2020-03-03,2020-03-05,2020-07-31,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,300,NA,NA,nf1 KO;pten KO;ink KO;atrx KO,TRUE
22925,2020-03-03,2020-03-05,2020-06-18,NA,2020-06-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,105,NA,2,nf1 KO;pten KO;ink KO;atrx KO,TRUE
22926,2020-03-03,2020-03-05,2020-05-24,2020-05-24,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,80,0,NA,nf1 KO;pten KO;ink KO;atrx KO,TRUE
