mouse_num,tumor_id,patho_location,patho_tum_grade,patho_notes,patho_requests,tyr_cre_status,tumor_locations,tumor_grade_he,injected_by,mouse_num_tag,mouse_tag,src,tva,h12,pten,ink,atrx,tyr_cre_conf,cells_injected,vol_injected,tva_status,brain_harvested,organs_harvested,tis_fix_etoh,control_or_lgtumor,tis_submitted,brain_ihc_notes,sheri_saw_he,proof_of_mass,slide_on_HD_he,ki67_result,slide_on_HD_ki67,perk_result,slide_on_HD_perk,unstain_slid_avail,tumor_free_surv,glioma_free_surv,cranial_n_tum,intracranial_glioma,head_tumor_skull,lymph_tumor,low_spin_tum,eye_tumor1,auditory_n_to_skin,cutaneous_skin,rib_cage,lethargic,mouse_puffy,paralysis1,hydrocephalus,non_tum_death,nothing_abnormal,found_dead,strain,virus,nf1_ko,pten_ko,ink_ko,atrx_ko,genes_ko,time_after_tum,time_from_behav,pretumorigenic,col_notes,nec_by,dox_tx,zinc_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,nec_comments,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,img_sample,staining,img_path,img_by,slide_label,slide_number
28202,T1,Optic Nerve?,"High Grade, possible OPG","Similar morphology to 26281. Mitotically active. H&E looks like a nerve at the base of the brain. Brain has signs of necrosis, high grade.",send to Dr. Davidson with mouse anatomy website.,+/+,Optic Nerve?,NA,RH,28202-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,7,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",RE,NA,No,NA,NA,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... Collected: Brain, Lungs, Liver, T1 ... Formalin Fixed: Brain, Lungs, Liver, T1",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,NA,NA,1,NA,B,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-57-46-R1-S9.mrxs,TE,B GFAP TE 612,4
28202,T1,Optic Nerve?,"High Grade, possible OPG","Similar morphology to 26281. Mitotically active. H&E looks like a nerve at the base of the brain. Brain has signs of necrosis, high grade.",send to Dr. Davidson with mouse anatomy website.,+/+,Optic Nerve?,NA,RH,28202-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,7,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",RE,NA,No,NA,NA,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... Collected: Brain, Lungs, Liver, T1 ... Formalin Fixed: Brain, Lungs, Liver, T1",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,NA,NA,1,NA,B,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-00-36-R1-S5.mrxs,TE,B MF Olig2 TE 6/22,5
28202,T1,Optic Nerve?,"High Grade, possible OPG","Similar morphology to 26281. Mitotically active. H&E looks like a nerve at the base of the brain. Brain has signs of necrosis, high grade.",send to Dr. Davidson with mouse anatomy website.,+/+,Optic Nerve?,NA,RH,28202-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,7,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",RE,NA,No,NA,NA,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... Collected: Brain, Lungs, Liver, T1 ... Formalin Fixed: Brain, Lungs, Liver, T1",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,NA,NA,1,NA,B,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-39-46-R1-S5.mrxs,TE,Synaptophysin,3
28208,T2,Kidney,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs,TE,T1 Ki67,3
28208,T2,Kidney,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-16-54-R1-S7.mrxs,TE,T1 MF Olig2 TE 6/22,4
28208,T2,Kidney,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-56-57-R1-S7.mrxs,TE,GFAP,1
28208,T2,Kidney,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-20-51-R1-S10.mrxs,TE,Synaptophysin,2
28208,T3,Brain,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs,TE,T1 Ki67,3
28208,T3,Brain,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-16-54-R1-S7.mrxs,TE,T1 MF Olig2 TE 6/22,4
28208,T3,Brain,Infiltrating Glioblastoma and possible gliosarcoma,"High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP",+/+,"Glioblastoma, Gliosarcoma?",NA,RH,28208-11,11,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,18,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",RE,NA,No,NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,NA,NA,T2,T3,NA,1,1,NA,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-56-57-R1-S7.mrxs,TE,GFAP,1
