name1,name2,char
glioma_free_survival_1_if_a_glioma_inside_brain_or_infiltrating_the_brain_verified_by_ki67_0_if_no_observable_glioma_is_present_exclude_if_h_e_wasnt_done_or_mouse_was_sacked_before_150_days_for_whatever_reason,glioma_free_surv,209
tumor_free_survival_1_only_if_there_was_any_abnormal_mass_or_enlargement_visible_upon_necropsy_or_h_e_0_if_mouse_survived_to_150_days_and_had_no_tumor_exclude_if_death_was_early_and_no_hard_proof_of_tumor,tumor_free_surv,204
cranial_nerve_tumor_anything_in_the_cranial_cavity_but_not_necessarily_infiltrating_or_inside_the_brain_most_likely_located_under_the_brain,cranial_n_tum,139
overall_survival_1_if_there_was_any_evidence_of_tumor_visible_before_necropsy_or_after_ihc_behavior_change_or_unexplained_death_0_if_not,evidence_of_tumor1,136
auditory_nerve_not_connected_to_skull_like_head_tumors_but_on_head_and_connected_to_skin_sort_of,auditory_n_to_skin,96
intracranial_glioma_or_outside_of_brain_and_still_in_skull_combo_of_previous_2,intracranial_glioma,78
eye_tumor_where_it_was_clear_it_was_the_optical_nerve_and_or_involving_the_eye,eye_tumor1,78
lower_spinal_cord_tumor_unfortunatly_didnt_start_looking_for_this_until_later,low_spin_tum,77
lymph_node_tumor_wasnt_always_looking_for_but_noticed_when_they_were_big,lymph_tumor,72
paralysis_from_starting_to_drag_hind_legs_to_full_on_immobility,paralysis1,63
is_useful_as_a_control_or_otherwise_includes_a_large_tumor,control_or_lgtumor,58
head_tumor_outside_of_and_connected_to_skull,head_tumor_skull,44
lethargic_difficulty_breathing_looked_sick,lethargic,42
p_erk_result_only_listed_if_it_was_done,perk_result,39
full_slide_scan_of_p_erk_on_external_hd,slide_on_HD_perk,39
full_slide_scan_of_ki67_on_external_hd,slide_on_HD_ki67,38
full_slide_scan_of_h_e_on_external_hd,slide_on_HD_he,37
non_tumor_related_reason_for_death,non_tum_death,34
cutaneous_skin_somewhere_on_body,cutaneous_skin,32
fixed_tissue_still_in_ethanol,tis_fix_etoh,29
unstained_slides_available,unstain_slid_avail,26
tyr_cre_status_confirmed,tyr_cre_conf,24
number_of_cells_injected,cells_injected,24
other_organs_harvested,organs_harvested,22
elapsed_from_behavior,time_from_behav,21
tumor_grade_post_h_e,tumor_grade_he,20
h_e_submission_date,he_submitted,19
patho_est_location,patho_location,18
sheri_has_seen_h_e,sheri_saw_he,18
elapsed_from_tumor,time_after_tum,18
patho_tumor_grade,patho_tum_grade,17
tissues_submitted,tis_submitted,17
puffy_full_of_gas,mouse_puffy,17
behavior_noticed,behavior_noticed,16
age_death_capped,age_death_capped,16
mri_imaging_date,mri_imaging_date,16
nothing_abnormal,nothing_abnormal,16
tumor_locations,tumor_locations,15
brain_harvested,brain_harvested,15
brain_ihc_notes,brain_ihc_notes,15
tyr_cre_status,tyr_cre_status,14
injection_date,injection_date,14
pretumorigenic,pretumorigenic,14
tumor_noticed,tumor_noticed,13
mouse_num_tag,mouse_num_tag,13
age_death_cap,age_death_cap,13
proof_of_mass,proof_of_mass,13
hydrocephalus,hydrocephalus,13
vol_injected,vol_injected,12
patho_notes,patho_notes,11
injected_by,injected_by,11
ki67_result,ki67_result,11
death_date,death_date,10
tva_status,tva_status,10
found_dead,found_dead,10
had_tumor,had_tumor,9
mouse_num,mouse_num,9
mouse_tag,mouse_tag,9
col_notes,col_notes,9
tumor_id,tumor_id,8
requests,requests,8
end_date,end_date,8
rib_cage,rib_cage,8
genes_ko,genes_ko,8
exclude,exclude,7
pten_ko,pten_ko,7
atrx_ko,atrx_ko,7
gender,gender,6
strain,strain,6
nf1_ko,nf1_ko,6
ink_ko,ink_ko,6
virus,virus,5
pten,pten,4
atrx,atrx,4
dob,dob,3
src,src,3
tva,tva,3
h11,h12,3
ink,ink,3
