"mouse_num","dob","injection_date","sac_date","nec_date","nec_by","dox_tx","zinc_fixed","parafin_block_number_s","slide_number_s","h_e","gross_visualization_of_lung_nodules","tumor_bool","nec_comments","tis_brain","tis_optic_n","tis_lung","tis_liver","tis_spinal_c","tis_cran_n","tis_eye","tum_neck","tum_cran_n","tum_spinal_c","tum_head","tum_low_back_ribs","tum_skin","tum_extracranial","tum_shoulder","tum_brain","tum_kidney","tum_bladder","tum_eye","paralysis","abnormal_appearance","nec_NED","xclude","img_sample","staining","img_path","img_date","img_by","slide_date","slide_label","slide_number"
"26037",2021-01-20,2021-01-22,2021-04-01,2021-04-01,"RH",,"No",,,,,1,"looked like a domed head at first that manifested as a large head tumor. ... Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from. ... Collected: Brain and head tumor ... Formalin Fixed: Brain and head tumor",1,,,,,,,,,,"1",,,,,,,,,,1,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-46-29-R1-S1.mrxs",2022-06-07,"TE",2022-06-12,"T1 GFAP TE 612","4"
"26009",2021-01-20,2021-01-22,2021-03-29,2021-03-30,"RH",,"No",,,,,1,"large head tumor. ... Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from. ... Collected: Brain and head tumor ... Formalin Fixed: Brain and head tumor",1,,,,,,,,,,"1",,,,,,,,,,,,,"T1","Ki67","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-09-53-R1-S3.mrxs",2022-06-07,"TE",,"T1 KI 67","5"
"26009",2021-01-20,2021-01-22,2021-03-29,2021-03-30,"RH",,"No",,,,,1,"large head tumor. ... Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from. ... Collected: Brain and head tumor ... Formalin Fixed: Brain and head tumor",1,,,,,,,,,,"1",,,,,,,,,,,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-24-08-R1-S4.mrxs",2022-06-07,"TE",,"T1 GFAP","3"
"26279",2021-02-19,2021-02-21,2021-04-13,2021-04-13,"RH",,"No",,,,,1,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded. ... Collected: Brain, T1 ... Formalin Fixed: Brain, T1",1,,,,,,,,,,"T1",,,,,,,,,,1,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-38-17-R1-S5.mrxs",2022-06-07,"TE",2022-06-12,"T1 GFAP TE 612","5"
"26014",2021-01-20,2021-01-22,2021-04-12,2021-04-12,"RH",,"No",,,,,1,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed. ... Collected: Brain, T1 ... Formalin Fixed: Brain, T1",1,,,,,,,,,"T1",,,,,,,,,,1,1,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-43-14-R1-S6.mrxs",2022-06-07,"TE",2022-06-12,"T1 GFAP TE 612","3"
"26276",2021-02-19,2021-02-21,2021-05-17,2021-05-17,"RH",,"No",,,,,1,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1. ... Collected: Brain, spinal cord tumor (T1), head tumor (T2) ... Formalin Fixed: Brain, T1",1,,,,,,,,,"T1","T2",,,,,,,,,1,,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-49-18-R1-S7.mrxs",2022-06-07,"TE",2022-06-12,"T1 GFAP TE 612","3"
"26274",2021-02-19,2020-12-22,2021-05-26,2021-05-26,"RH",,"No",,,,,1,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen ... Collected: Brain, spine tumor ... Formalin Fixed: Brain, spine tumor",1,,,,,,,,,"1",,,,,,,,,,,1,,,"T1","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-52-57-R1-S8.mrxs",2022-06-07,"TE",2022-06-12,"T1 GFAP TE 612","4"
"28202",2021-10-12,2021-10-14,2021-12-27,2021-12-27,"RE",,"No",,,,,1,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ... Collected: Brain, Lungs, Liver, T1 ... Formalin Fixed: Brain, Lungs, Liver, T1",1,,1,1,,,,,,,,,,,,"T1",,,,,1,,,"B","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-57-46-R1-S9.mrxs",2022-06-07,"TE",2022-06-12,"B GFAP TE 612","4"
"29409",2022-02-10,2022-02-10,2022-04-04,2022-04-04,"RE",,"No",,,,,1,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... Collected: Brain, Lungs, Liver ... Formalin Fixed: Brain, Lungs, Liver",1,,1,1,,,,,,,,,,,,,,,,,1,,,"B","GFAP","E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T10-08-05-R1-S10.mrxs",2022-06-07,"TE",2022-06-12,"B GFAP TE 612","1"
"28208",2021-10-12,2021-10-14,2021-12-22,2021-12-22,"RE",,"No",,,,,1,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?) ... Collected: Brain, Lungs, Liver, T1, T2, T3 ... Formalin Fixed: Brain, Lungs, Liver, T1, T2, T3",1,,1,1,,,,,,,,,,"T1",,,"T2","T3",,1,1,,,"T1","Ki67","E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs",2022-06-22,"TE",,"T1 Ki67","3"
