"mouse_num","disposition","date_tumor_reported","tissue_collected","additional_comments","t","tissue_br","tissue_liver","tissue_lung","tissue_optic_n"
24988,"Sick, breathing weird, very large distended stomach.","44243",,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.,Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach.","Brain",1,,,
25260,"swollen head, very sick (skinny and hunched over)","44216",,"Brain was completely hollow and extremely swollen full of clear liquid and blood. Harvested all in one piece. No sign of tumor.","Brain",1,,,
26040,,"behavior reported 4/16/21, eyes looking partially closed",,"Mouse was found dead. No sign of tumor upon necropsy. Behavior was first noted on 4/16, but mouse never appeared like it required euthanasia. Brain was able to be harvested in one piece.","Brain",1,,,
26061,,,,"lossing mobility, everything looked normal upon necropsy","Brain",1,,,
26062,,"44309",,"tumor on shoulder noticed 4/23/21, found dead, brain was sort of mush, tumors also noticed on lower spinal cord after necropsy","Brain",1,,,
26063,,,,"dragging legs 4/26/21, no other sign of tumor","Brain",1,,,
26065,,"44301",,"small bump noticed on top of head  on 4/15, showing more paralysis on 4/26/21, upon necropsy there was a top of head tumor which was small and only peeled off the skull with a piece of skull attached and fixed -T1. Tumor around the lower spinal cord was also minimal and used only to make a cell line - T2.","Brain",1,,,
26066,,,,"bulge noticed in scrotum and mouse is more emanciated than others in cage, it is a hernia, no sign of tumor","Brain",1,,,
26067,,,"and neck tumors","mouse was bloated with lots of gas built up in digestive tract, mouse was also acting less active and hunched over, there were 4 masses around the front and sides of the neck which were harvested for histology, freezing, and cell line - possibly lymph nodes given their symetry, brain has a little nub in the front of it that looked larger than normal","Brain and neck tumors",1,,,
26068,,,"cranial nerve tumor (T1), and spinal cord tumor (T2)","mouse is paralyzed with a partially closed left eye, upon necropsy there is an enlarged cranial nerve on both sides, which was only used for a cell line (T1). There was also a tumor found on the spinal cord (T2) also just used for cell line.","Brain, cranial nerve tumor (T1), and spinal cord tumor (T2)",1,,,
26069,,,,"Found dead. Noticed lower spine tumor on 6/9, lost mobility on 6/11, paralyzed on 6/12.","Brain",1,,,
26137,,,,"Found dead on a Monday, so could have died up to 3 days earlier. Brain was sort of mushy, so it was not in the best condition, but was able to be removed for histology. No other signs of tumor.","Brain",1,,,
25310,"hunched over, scabs on tail, animal care staff required it be sacked",,,"brain appeared deflated","B",1,,,
26139,,,"neck tumor (lyph node?) T1, cranial nerve mush under brain (T2)","bloated looking due to gut full of gas, breathing heavy, enlarged masses around neck (T1) similar to 26067 (may be lymph nodes, might have missed these in previous mice) - these were fixed, frozen and used for a cell line, Also had a mushy mass under the brain (T2) which was used for a cell line","Brain, neck tumor (lyph node?) T1, cranial nerve mush under brain (T2)",1,,,
26140,,,"cranial nerve tumor","mouse appeared normal prior to necropsy, brain was being pushed from a large tumor underneith that was attached to the base of the cranial cavity, possibly from a cranial nerve (right side), a photo was taken. Tumor was very firm and white looking, It was split 3 ways for freezing, cell line, and fixing. I included the tumor along with the brain in the same parafin block.","Brain, cranial nerve tumor",1,,,
26141,,,"cranial nerve tumor","mouse had a domed head, was hunched over, not grooming, and breathing heavy, there was a massive tumor under the brain and attached to the base of the cranial cavity, froze portion of tumor and used for cell line.","Brain, cranial nerve tumor",1,,,
26142,,,,"starting to drag hind legs on 4/26/21, noticed left eye not fully open on 4/27/21, weeker and more emanciated than the cagemates so sacked before I find it dead, nothing abnormal noticed upon necropsy","Brain",1,,,
26143,"mouse is puffy, not moving around much, slow breathing",,,"Brain looked uncharacteristically white and it did not separate from the skull cleanly","Brain",1,,,
26275,,,,"hunched, emanciated, partial paralysis, brain looked a little puffy","Brain",1,,,
26276,,,"spinal cord tumor (T1), head tumor (T2)","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","Brain, spinal cord tumor (T1), head tumor (T2)",1,,,
26277,,,,"hunched back, becoming paralyzed, brain looked a little puffy with a possible whiter section on the bottom","Brain",1,,,
26278,,"behavior reported 4/23/21, partially paralyzed on hind legs",,"mouse was observed to be partially paralyzed, and I didn't want to leave it over the weekend. Nothing looked abnormal upon necropsy","Brain",1,,,
26279,,,"T1","head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.","Brain, T1",1,,,
25504,"Large head tumor growing over skull","44225",,"Brain looked normal, tumor frozen, cell line formed (t1) and rest formalin fixed","Brain",1,,,
26280,,,"cranial nerve","mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","Brain, cranial nerve",1,,,
26281,,,"cranial nerve tumor","partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","Brain, cranial nerve tumor",1,,,
26282,,,,"mouse was paralyzed, but nothing looked abnormal after necropsy","Brain",1,,,
26305,,,"cranial nerve tumor","mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve","Brain, cranial nerve tumor",1,,,
26307,,,"T1","mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","Brain, T1",1,,,
26308,,,,"partially paralyzed in hind legs, everything else looked normal","Brain",1,,,
26310,,,"T1","mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","Brain, T1",1,,,
26311,,,"T1","mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded","Brain, T1",1,,,
28202,,"44550","T1","intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.","Brain, Lungs, Liver, T1",1,1,1,
28203,"Little Mobility in back legs,Trouble breathing,Red, sunken eyes,Extremely Underweight","44551","T1","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","T1, Brain, Lungs, Liver",1,1,1,
25548,,,,"experimental endpoint","Brain",1,,,
28204,"Red, Sunken Eyes,Head bulge",,,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver","Brain, Lungs, Liver",1,1,1,
28204,"Complete Lower Paralysis,Swollen Cheeks,Large back hump",,,"Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver","Brain, Lungs, Liver",1,1,1,
28207,,,"T1","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","Brain, Lungs, Liver, T1",1,1,1,
28208,,"44534","T1, T2, T3","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","Brain, Lungs, Liver, T1, T2, T3",1,1,1,
25825,"Paralyzed left side,Trouble breathing,Dome head",,,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.","Brain, Lungs, Liver",1,1,1,
28200,"Lethargic, red discharge around eye","1/20/22 lethargic and red discharge around eye","T1","intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal","Brain, Lungs, Liver, T1",1,1,1,
28526,"No visible head tumor, bulging eyeball,Hunched posture",,,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve","Brain, Lungs, Liver",1,1,1,
28527,"Large head tumor, could barely open eyes,Weight loss",,,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor,All other organs appeared normal","Brain, Lungs, Liver",1,1,1,
28528,"Sqiunted eyes,Lack of mobility,general malaise",,,"Swollen brain, watery and soft. Lungs and liver looked healthy.,No primary tumor visible","Brain, Lungs, Liver",1,1,1,
28529,"Visible head tumor,Back leg paralysis",,,"Swollen brain, blood in the skull prior to skull incision","Brain, Lungs, Liver",1,1,1,
25549,,,,"experimental endpoint","Brain",1,,,
28530,"No visible tumor,Back leg paralysis",,,"Swollen brain, blood in the skull prior to skull incision","Brain, Lungs, Liver",1,1,1,
28531,"No visible tumor,Back leg paralysis,Stopped grooming, looked unwell",,,"Swollen brain, blood in the skull prior to skull incision,Brain was incredibly soft, difficult to remove,anatomy looked otherwise healthy","Brain, Lungs, Liver",1,1,1,
28532,"No visible tumor",,,"No tumor was noted","Brain, Lungs, Liver",1,1,1,
28708,"Sacked for end date",,,"All organs appeared normal, no tumor noted","Brain, Lungs, Liver",1,1,1,
28709,"Sacked for end date",,,"All organs appeared normal, no tumor noted","Brain, Lungs, Liver",1,1,1,
28710,"Sacked for end date",,,"All organs appeared normal, no tumor noted","Brain, Lungs, Liver",1,1,1,
28780,"Sacked for end date",,,"All organs appeared normal, no tumor noted, some hunching","Brain, Lungs, Liver",1,1,1,
