tumor_bool,tumor_qual,mouse_num,initials,nec_date,disposition,sex,strain,sac_date,injection_date,virus,date_tumor_reported,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,comments,rcas_injection,injection_route,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,date_tumor_reported2
NA,Partially paralyzed,22841,ZL,5/20/2020,Mouse stopped moving,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,5/20/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,5/20/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22843-BR,1,Yes,NA,NA_NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,NA
NA,"Diffiulty moving and walking, mishapen head",22844,ZL,6/11/2020,"Mishapen head, could not move",M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/11/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22844-BR,1,Yes,NA,NA_NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,NA
NA,"Difficulty moving, weirdly shaped head",22846,ZL,6/1/2020,"Difficulty moving and breathing, mishapen head",F,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,5/20/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22846-BR,1,Yes,NA,NA_NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,NA
NA,"Respiratory Issues, looked sick",22847,ZL,6/15/2020,"Respiratory Issues, looked sick",F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/15/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22847-BR,1,Yes,NA,NA_NA,Yes,intracranial,2/17/2020,Brain,1,NA,NA,NA,NA
NA,Respiratory Issues and paralyzed no domed head observed,22921,ZL,6/17/2020,Respiratory Issues and paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/17/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22921-BR,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
NA,Brain and behavior was normal,22922,ZL,7/31/2020,Healthy,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
NA,brain looked normal,22923,ZL,6/15/2020,paralysis + large tumor in/over eye,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/15/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-22923-BR,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
3,Mouse behavior normal. Small tumor on left cranial nerve,22924,ZL,7/31/2020,Healthy,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
1,"Yes,  large white mass under brain. Rick thinks enlarged pituitary",22925,GP,5/24/2020,"protruding rectum, difficulty walking",M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,6/18/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/15/2020,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,NA,NA,Yes,HCI-22925-BR,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
1,NA,22926,GP,5/24/2020,Large tumor invading left eye/domed head,M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,5/24/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,5/24/2020,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,extracranial tumor,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,"Brain, extracranial tumor",1,NA,NA,NA,NA
