mouse_num,patho_location,patho_tum_grade,patho_notes,patho_requests,tumor_locations,tumor_grade_he,injected_by,mouse_num_tag,mouse_tag,src,tva,h12,pten,ink,atrx,cells_injected,vol_injected,tva_status,brain_harvested,organs_harvested,tis_fix_etoh,control_or_lgtumor,tis_submitted,brain_ihc_notes,sheri_saw_he,proof_of_mass,slide_on_HD_he,ki67_result,slide_on_HD_ki67,perk_result,slide_on_HD_perk,unstain_slid_avail,tumor_free_surv,glioma_free_surv,cranial_n_tum,intracranial_glioma,head_tumor_skull,lymph_tumor,low_spin_tum,eye_tumor1,auditory_n_to_skin,cutaneous_skin,rib_cage,lethargic,mouse_puffy,paralysis1,hydrocephalus,non_tum_death,nothing_abnormal,found_dead,strain,virus,nf1_ko,pten_ko,ink_ko,atrx_ko,genes_ko,time_after_tum,time_from_behav,pretumorigenic,col_notes,nec_by,dox_tx,zinc_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,nec_comments,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,img_sample,staining,img_path,img_by,slide_label,slide_number,tyr_cre
29409,Brain,Grade II Infiltrating Astrocytoma,Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.,GFAP,brain,Grade II Infiltrating Astrocytoma,RE,29409-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,NA,6,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22",RE,NA,No,NA,NA,NA,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... Collected: Brain, Lungs, Liver ... Formalin Fixed: Brain, Lungs, Liver",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,GFAP,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T10-08-05-R1-S10.mrxs,TE,B GFAP TE 612,1,NA
29409,Brain,Grade II Infiltrating Astrocytoma,Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.,GFAP,brain,Grade II Infiltrating Astrocytoma,RE,29409-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,NA,6,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22",RE,NA,No,NA,NA,NA,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... Collected: Brain, Lungs, Liver ... Formalin Fixed: Brain, Lungs, Liver",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-23-33-R1-S5.mrxs,TE,NA,1,NA
29409,Brain,Grade II Infiltrating Astrocytoma,Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.,GFAP,brain,Grade II Infiltrating Astrocytoma,RE,29409-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,NA,6,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22",RE,NA,No,NA,NA,NA,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... Collected: Brain, Lungs, Liver ... Formalin Fixed: Brain, Lungs, Liver",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-28-57-R1-S1.mrxs,TE,Perk,3,NA
29409,Brain,Grade II Infiltrating Astrocytoma,Ki67 + near the ventricle. Early stage glioma. No mitotic activity. estimated 25% ki67 +.,GFAP,brain,Grade II Infiltrating Astrocytoma,RE,29409-10,10,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,NA,6,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22",RE,NA,No,NA,NA,NA,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead. ... Collected: Brain, Lungs, Liver ... Formalin Fixed: Brain, Lungs, Liver",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-48-20-R1-S2.mrxs,TE,Ki67,2,NA
29387,Brain,Infiltrating Astrocytoma,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.",Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.,brain,Infiltrating Astrocytoma,RE,29387-00,00,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,7,NA,NA,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",RE,NA,No,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... Collected: Brain ... Formalin Fixed: Brain",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-02-41-R1-S4.mrxs,TE,NA,1,+/+
29387,Brain,Infiltrating Astrocytoma,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.",Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.,brain,Infiltrating Astrocytoma,RE,29387-00,00,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,7,NA,NA,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",RE,NA,No,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... Collected: Brain ... Formalin Fixed: Brain",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-50-14-R1-S1.mrxs,TE,Ki67,NA,+/+
29387,Brain,Infiltrating Astrocytoma,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.",Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.,brain,Infiltrating Astrocytoma,RE,29387-00,00,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,7,NA,NA,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",RE,NA,No,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... Collected: Brain ... Formalin Fixed: Brain",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-56-53-R1-S2.mrxs,TE,Perk,2,+/+
29387,Brain,Infiltrating Astrocytoma,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.",Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.,brain,Infiltrating Astrocytoma,RE,29387-00,00,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,7,NA,NA,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",RE,NA,No,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... Collected: Brain ... Formalin Fixed: Brain",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-18-53-R1-S5.mrxs,TE,Perk,2,+/+
29387,Brain,Infiltrating Astrocytoma,"Possibly located in the germinal matrix in the mouse, though needs to be confirmed. Pinching off ventricles. Possibly ependymal.",Look into neurons staining brown for pERK. send to Dr. Davidson with mouse anatomy website.,brain,Infiltrating Astrocytoma,RE,29387-00,00,RE,N-TVA::,H11LSL-Cas9 f/f,Pten +/+,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten +/+;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten wt,ink KO,atrx wt,nf1 KO;pten wt;ink KO;atrx wt,7,NA,NA,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection.",RE,NA,No,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation ... Collected: Brain ... Formalin Fixed: Brain",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-31-40-R1-S6.mrxs,TE,Ki67,3,+/+
26012,Brain,High Grade Infiltrating Glioma,Concentration surrounding blood vessels. Evidence of perineuronal cytosis. pERK on leading edges of tumor. Est. 50% ki67+,Staining for IDH1&2?,Glioma,NA,RH,26012-01,01,RE,N-TVA::,H11LSL-Cas9 f/f,Pten f/f,Ink4a/Arf f/f,ATRX +/+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO,pten KO,ink KO,atrx wt,nf1 KO;pten KO;ink KO;atrx wt,NA,0,NA,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal ... partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,Tg/Tg
