mouse_num,dob,injection_date,sac_date,nec_date,nec_by,dox_tx,zinc_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,tumor_bool,comments,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,unknown_t1,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,xclude,necropsy_file_path
23525,2020-04-22,2020-04-23,2020-09-17,2020-09-17,ZL,No,,,1,yes,,1,"Tumor present on side of body weird fatty skin growth. Brain looked normal. ... Bloody cutaneous tumro growing on side. ... Collected: Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed ... Formalin Fixed: Yes",1,,,,,,,,,,,,1,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23525.xls
25692,2020-12-19,2020-12-22,2021-04-12,2021-04-12,RH,,No,,,,,0,"passed Friday health check, but found dead on Mon. After necropsy, a tumor was visable around right ear (T1) connected to the skull and separate from the skin. A second tumor is seen lower on the neck (T2) it is smaller. Tumors were fixed, brain was fixed too but mushy since this mouse was found dead. ... Collected: Brain, T1, T2 ... Formalin Fixed: Brain, T1, T2",1,,,,,,,,T2,,,T1,,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-25692.xlsx
22841,2020-02-17,2020-02-20,2020-05-20,2020-05-20,ZL,No,,HCI -20-22843-BR,1,yes,,0,Partially paralyzed. ... Mouse stopped moving. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22841.xls
22844,2020-02-17,2020-02-20,2020-06-11,2020-06-11,ZL,No,,HCI -20-22844-BR,1,yes,,0,"Diffiulty moving and walking, mishapen head. ... Mishapen head, could not move. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22844.xls
22846,2020-02-17,2020-02-20,2020-06-01,2020-06-01,ZL,No,,HCI -20-22846-BR,1,yes,,0,"Difficulty moving, weirdly shaped head. ... Difficulty moving and breathing, mishapen head. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22846.xls
22847,2020-02-17,2020-02-20,2020-06-15,2020-06-15,ZL,No,,HCI -20-22847-BR,1,yes,,0,"Respiratory Issues, looked sick. ... Respiratory Issues, looked sick. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22847.xls
22921,2020-03-03,2020-03-05,2020-06-17,2020-06-17,ZL,No,,HCI -20-22921-BR,1,yes,,0,Respiratory Issues and paralyzed no domed head observed. ... Respiratory Issues and paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22921.xls
22922,2020-03-03,2020-03-05,2020-07-31,2020-07-31,ZL,No,,,1,yes,,0,Brain and behavior was normal. ... Healthy. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,,1,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22922.xls
22923,2020-03-03,2020-03-05,2020-06-26,2020-06-15,ZL,No,,HCI -20-22923-BR,1,yes,,1,brain looked normal. ... paralysis + large tumor in/over eye. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,1,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22923.xls
22924,2020-03-03,2020-03-05,2020-07-31,2020-07-31,ZL,No,,,1,yes,,1,Mouse behavior normal. Small tumor on left cranial nerve. ... Healthy. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,1,,,,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22924.xls
