mouse_num,nec_by,nec_date,sac_date,injection_date,virus,formalin_fixed,parafin_block,gross_visualization_of_lung_nodules,rcas_injection,dob,t,comments,tumor_bool,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,xclude
22841,ZL,5/20/2020,5/20/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22843-BR,NA,Yes,2/17/2020,Brain,Partially paralyzed. ... Mouse stopped moving.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
22844,ZL,6/11/2020,6/11/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22844-BR,NA,Yes,2/17/2020,Brain,"Diffiulty moving and walking, mishapen head. ... Mishapen head, could not move.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
22846,ZL,6/1/2020,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22846-BR,NA,Yes,2/17/2020,Brain,"Difficulty moving, weirdly shaped head. ... Difficulty moving and breathing, mishapen head.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
22847,ZL,6/15/2020,6/15/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22847-BR,NA,Yes,2/17/2020,Brain,"Respiratory Issues, looked sick. ... Respiratory Issues, looked sick.",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
22921,ZL,6/17/2020,6/17/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22921-BR,NA,Yes,3/3/2020,Brain,Respiratory Issues and paralyzed no domed head observed. ... Respiratory Issues and paralyzed.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
22922,ZL,7/31/2020,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,Brain,Brain and behavior was normal. ... Healthy.,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
22923,ZL,6/15/2020,6/26/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI -20-22923-BR,NA,Yes,3/3/2020,Brain,brain looked normal. ... paralysis + large tumor in/over eye.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
22924,ZL,7/31/2020,7/31/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,Brain,Mouse behavior normal. Small tumor on left cranial nerve. ... Healthy.,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22925,GP,5/24/2020,6/18/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,HCI-22925-BR,NA,Yes,3/3/2020,Brain,"large white mass under brain. Rick thinks enlarged pituitary. ... protruding rectum, difficulty walking.",1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
22926,GP,5/24/2020,5/24/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,NA,Yes,3/3/2020,"Brain, extracranial tumor",Large tumor invading left eye/domed head.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
