tumor_bool,tumor_qual,mouse_num,disposition,date_tumor_reported,tissue_collected,formalin_fixed,parafin_block_number_s,comments
1,Y - domed head,25825,"Paralyzed left side,Trouble breathing,Dome head",NA,NA,"Brain, Lungs, Liver",NA,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver._NA"
1,"Glioma, tumor was so large that there was a change of shape to the skull, tumor was attached to the optic nerve",28526,"No visible head tumor, bulging eyeball,Hunched posture",NA,NA,"Brain, Lungs, Liver",NA,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve_NA"
2,"Potentially. Nothing visible, but symptoms consistent with glioma",28528,"Sqiunted eyes,Lack of mobility,general malaise",NA,NA,"Brain, Lungs, Liver",NA,"Swollen brain, watery and soft. Lungs and liver looked healthy.,No primary tumor visible_NA"
1,"Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",28529,"Visible head tumor,Back leg paralysis",NA,NA,"Brain, Lungs, Liver",NA,"Swollen brain, blood in the skull prior to skull incision_NA"
1,"Glioma, no tumor visible but paralysis present",28530,"No visible tumor,Back leg paralysis",NA,NA,"Brain, Lungs, Liver",NA,"Swollen brain, blood in the skull prior to skull incision_NA"
1,"Glioma, no tumor visible but paralysis present",28531,"No visible tumor,Back leg paralysis,Stopped grooming, looked unwell",NA,NA,"Brain, Lungs, Liver",NA,"Swollen brain, blood in the skull prior to skull incision,Brain was incredibly soft, difficult to remove,anatomy looked otherwise healthy_NA"
1,Glioma,28532,No visible tumor,NA,NA,"Brain, Lungs, Liver",NA,No tumor was noted_NA
NA,Partially paralyzed,22841,Mouse stopped moving,43971,NA,Yes,HCI -20-22843-BR,NA_NA
NA,"Diffiulty moving and walking, mishapen head",22844,"Mishapen head, could not move",43993,NA,Yes,HCI -20-22844-BR,NA_NA
NA,"Difficulty moving, weirdly shaped head",22846,"Difficulty moving and breathing, mishapen head",43971,NA,Yes,HCI -20-22846-BR,NA_NA
NA,"Respiratory Issues, looked sick",22847,"Respiratory Issues, looked sick",43993,NA,Yes,HCI -20-22847-BR,NA_NA
NA,Respiratory Issues and paralyzed no domed head observed,22921,Respiratory Issues and paralyzed,43993,NA,Yes,HCI -20-22921-BR,NA_NA
NA,Brain and behavior was normal,22922,Healthy,N/A,NA,Yes,NA,NA_NA
NA,brain looked normal,22923,paralysis + large tumor in/over eye,43997,NA,Yes,HCI -20-22923-BR,NA_NA
3,Mouse behavior normal. Small tumor on left cranial nerve,22924,Healthy,N/A,NA,Yes,NA,NA_NA
1,"Yes,  large white mass under brain. Rick thinks enlarged pituitary",22925,"protruding rectum, difficulty walking",43997,NA,Yes,HCI-22925-BR,NA_NA
3,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull",23021,"Large domed head and disfigurement, difficulty moving back legs",43975,NA,Yes,HCI -20-23021-BR,NA_NA
NA,Brain looked perfectly normal,23269,Experimental end date,N/A,NA,Yes,NA,NA_NA
NA,Brain looked relatively normal,23270,Mouse was fully paralyzed,44011,NA,Yes,HCI -20-23270-BR,NA_NA
NA,Indentation on top of head between lobes was filled with liquid,23271,"Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed",44033,NA,Yes,HCI -20-23271-BR,NA_NA
