Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44635,,
Mouse ID,29162-01,,
Disposition,"lethargic, slow movement",,
Disposition,squinted eye,,
Disposition,hunched back,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Cas9f/f,,
BD,44579,,
Sac Date,44635,,
Age at Sac,56,,
Injection Date,44581,,
Virus 1,RCAS Cre + RCAS proHBEGF (1/20/21 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Cas9f/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Lost weight, mild hunchback, slow moving. Soft skull and brain. No obs. Tumor, no other CNS tumor found. Enlarged optic nerve",,
