Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,43954
Mouse ID,23401-03
Disposition,Broken leg; in pain/distress
Sex,Male
Strain,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
BD,43931
Sac Date,43954
Age at Sac,23
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43932
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (4/11/20 RH)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Leg was stuck in grate of cage, and animal was hanging by leg."
,Leg broken and unable to walk.
,Distress/pain noted.
,Brain and all other organs appeared normal.
