Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44795,,,,,,,,
Mouse ID,29818-00,,,,,,,,
Disposition,End Date,,,,,,,,
Sex,Female,,,,,,,,
Strain,N-TVA::Cas9f/f;Inkf/f,,,,,,,,
BD,44643,,,,,,,,
Sac Date,44795,,,,,,,,
Age at Sac,152,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44644,,,,,,,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 3/24/22 (RE),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Cas9f/f;Inkf/f,,,,,,,,
Tissue collected,"Brain, Optic Nerve",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Brain appeared normal,,,,,,,,
