Mouse Necropsy information sheet,...2,...3
Initials,ZL,
Today's Date,44089,
Mouse ID,23965-01,
Disposition,Paralyzed with small tumor on back end of body,
Sex,Female,
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,
BD,43997,
Sac Date,44089,
Age at Sac,92,
RCAS injection?,Yes,
Injection route,intracranial,
Injection Date,44000,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,Brain looked perfectly normal,
Date Tumor reported,44088,Weakness in legs noticed
Dox Tx?,No,
Duration of Dox Tx,,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,
Tissue collected,Brain,Tumor on surrounding spine at base of tail observed. Tissue frozen and fixed
,,
Formalin fixed?,Yes,
Parafin Block #'s,,
,,
Slide #'s,1,
H&E?,Yes,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,,
age at tumor onset,91,
