Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44602,,
Mouse ID,28891-00,,
Disposition,"Heavy breathing, sickly, primary tumor",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,All Alleles,,
BD,44549,,
Sac Date,44602,,
Age at Sac,53,,
Injection Date,44914,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/19/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, Liver, T1, T2",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1, T2",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"B, L, L looked normal.",,
,"Large growths found in chest cavity, explaining the difficulty breathing",,
,T collected,,
