Mouse Necropsy information sheet,...2
Initials,RH
Today's Date,44028
Mouse ID,23524
Disposition,Right eye is enlarged and could rupture
Sex,Male
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43943
Sac Date,44028
Age at Sac,85
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43944
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.
Date Tumor reported,44020
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,"Brain, eye, spinal cord (not intact)"
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23524-BR
,HCI-20-23524-SpCo
,HCI-20-23524-Ey
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
