Mouse Necropsy information sheet,...2,...3
Initials,ZL,
Today's Date,44039,
Mouse ID,23527-01,
Disposition,Complete paralysis,
Sex,Male,
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,
BD,43943,
Sac Date,44039,
Age at Sac,96,
RCAS injection?,Yes,
Injection route,intracranial,
Injection Date,43944,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve,
Date Tumor reported,43986,Slight domed head noticed
Dox Tx?,No,
Duration of Dox Tx,,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,
Tissue collected,Brain,
,,
Formalin fixed?,Yes,
Parafin Block #'s,,
,,
Slide #'s,1,
H&E?,Yes,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,,
