filename,sample_name,path
slide-2022-07-29T11-21-03-R1-S1-20220729-112343186,,E:/Slides/Tori_7-29-22/_FailedSlides/slide-2022-07-29T11-21-03-R1-S1-20220729-112343186.mrxs
slide-2022-07-29T12-28-28-R2-S1,,E:/Slides/Tori_7-29-22/slide-2022-07-29T12-28-28-R2-S1.mrxs
slide-2022-07-29T12-47-02-R2-S2,,E:/Slides/Tori_7-29-22/slide-2022-07-29T12-47-02-R2-S2.mrxs
slide-2022-07-29T13-07-01-R1-S3,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-07-01-R1-S3.mrxs
slide-2022-07-29T13-20-23-R1-S4,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-20-23-R1-S4.mrxs
slide-2022-07-29T13-21-32-R1-S5,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-21-32-R1-S5.mrxs
slide-2022-07-29T13-22-47-R1-S6,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-22-47-R1-S6.mrxs
slide-2022-07-29T13-34-36-R1-S7,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-34-36-R1-S7.mrxs
slide-2022-07-29T13-43-01-R1-S8,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-43-01-R1-S8.mrxs
slide-2022-07-29T13-53-35-R1-S9,,E:/Slides/Tori_7-29-22/slide-2022-07-29T13-53-35-R1-S9.mrxs
slide-2022-07-29T14-06-46-R1-S10,,E:/Slides/Tori_7-29-22/slide-2022-07-29T14-06-46-R1-S10.mrxs
slide-2022-07-29T14-18-54-R1-S11,,E:/Slides/Tori_7-29-22/slide-2022-07-29T14-18-54-R1-S11.mrxs
slide-2022-06-07T08-46-29-R1-S1,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-46-29-R1-S1.mrxs
slide-2022-06-07T08-54-43-R1-S2,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T08-54-43-R1-S2.mrxs
slide-2022-06-07T09-09-53-R1-S3,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-09-53-R1-S3.mrxs
slide-2022-06-07T09-24-08-R1-S4,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-24-08-R1-S4.mrxs
slide-2022-06-07T09-38-17-R1-S5,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-38-17-R1-S5.mrxs
slide-2022-06-07T09-43-14-R1-S6,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-43-14-R1-S6.mrxs
slide-2022-06-07T09-49-18-R1-S7,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-49-18-R1-S7.mrxs
slide-2022-06-07T09-52-57-R1-S8,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-52-57-R1-S8.mrxs
slide-2022-06-07T09-57-46-R1-S9,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T09-57-46-R1-S9.mrxs
slide-2022-06-07T10-08-05-R1-S10,,E:/CaseViewer Files/ihc nf1 glioma/GFAP/slide-2022-06-07T10-08-05-R1-S10.mrxs
slide-2022-06-22T11-34-00-R1-S1,,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-34-00-R1-S1.mrxs
slide-2022-06-22T11-44-23-R1-S2,,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-44-23-R1-S2.mrxs
slide-2022-06-22T11-52-43-R1-S3,,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T11-52-43-R1-S3.mrxs
