mouse_num,initials,todays_date,disposition,sex,strain,sac_date,age_at_sac,virus_1,evidence_of_tumor,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,additonal_comments,rcas_injection,injection_route,age_at_tumor_onset,dob,injection_date1,injection_date2,tumor_date
24988,ZL,2021-02-16,"Sick, breathing weird, very large distended stomach.",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-02-16,128,RCAS Cre-U6sgRNA-ex2-NF1,yes,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,"Yes, necrotic tmuor stuck to bottom of brain and cavity, scooped all up and formalin fixed",HCI-20-24988,NA,yes,No,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.,Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach.",NA,NA,NA,2020-10-11,2020-10-12,NA,2021-02-16
26009,RH,2021-03-30,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-03-29,68,RCAS Cre U6 sgRNA Ex2 NF1,large head tumor,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain and head tumor,No,Brain and head tumor,NA,NA,NA,NA,"Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from.",NA,NA,NA,2021-01-20,2021-01-22,NA,2021-03-15
26014,RH,2021-04-12,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-12,82,RCAS Cre U6-sgRNA-Ex2 NF1,yes,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, T1",No,"Brain, T1",NA,NA,NA,NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.",NA,NA,NA,2021-01-20,2021-01-22,NA,
26037,RH,2021-04-01,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-01,71,RCAS Cre U6 sgRNA Ex2 NF1,looked like a domed head at first that manifested as a large head tumor,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain and head tumor,No,Brain and head tumor,NA,NA,NA,NA,"Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from.",NA,NA,NA,2021-01-20,2021-01-22,NA,2021-03-18
26066,RH,2021-04-26,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-26,92,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,Brain,NA,NA,NA,NA,"bulge noticed in scrotum and mouse is more emanciated than others in cage, it is a hernia, no sign of tumor",NA,NA,NA,2021-01-24,2021-01-26,NA,
26137,RH,2021-04-05,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-04-05,64,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,Brain,NA,NA,NA,NA,"Found dead on a Monday, so could have died up to 3 days earlier. Brain was sort of mushy, so it was not in the best condition, but was able to be removed for histology. No other signs of tumor.",NA,NA,NA,2021-01-31,2021-02-02,NA,
26143,RH,2021-06-23,"mouse is puffy, not moving around much, slow breathing",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-06-23,143,RCAS Cre-U6sgRNA-ex2-NF1,no,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,Brain,NA,NA,NA,No,Brain looked uncharacteristically white and it did not separate from the skull cleanly,NA,NA,NA,2021-01-31,2021-02-02,NA,
26276,RH,2021-05-17,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-17,87,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, spinal cord tumor (T1), head tumor (T2)",No,"Brain, T1",NA,NA,NA,NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.",NA,NA,NA,2021-02-19,2021-02-21,NA,
26279,RH,2021-04-13,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-04-13,53,RCAS Cre U6 sgRNA Ex2 NF1,yes,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,"Brain, T1",No,"Brain, T1",NA,NA,NA,NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.",NA,NA,NA,2021-02-19,2021-02-21,NA,
26280,RH,2021-05-05,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-05,75,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, cranial nerve",No,Brain,NA,NA,NA,NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with",NA,NA,NA,2021-02-19,2021-02-21,NA,
