tumor,total_sa,mean,n
1.01,30.1,15.05,2
1.01-b,1.6,1.6,1
1.01.3,37,37,1
1.02,56,56,1
1.03,625,104.16666666666667,6
1.04,5,5,1
1.05,2.2,2.2,1
1.06,2.5,2.5,1
1.07,1.5,1.5,1
1.08,19.4,6.466666666666667,3
1.09,89,89,1
1.10,21,10.5,2
2.01,30.4,7.6,4
2.02,90,15,6
2.03,537,179,3
2.04,112,18.666666666666668,6
2.05,42,14,3
2.05-b,58,29,2
2.06,21,10.5,2
2.07,9,9,1
2.08,2,2,1
2.09,30,30,1
3.01,8,8,1
3.02,20,20,1
4.01,1,1,1
4.02,95,15.833333333333334,6
5.01,170,170,1
5.02,NA,NA,12
5.03,200,200,1
6.01,NA,NA,3
dif,NA,NA,26
dif/ned,NA,NA,14
fda,NA,NA,1
ts,NA,NA,20
ts/dif,NA,NA,14
ts/diff,NA,NA,3
uc,NA,NA,1
unq,NA,NA,1
